,M_csm,M_ej,M_csm_over_Mej,E_SN,R_prog,f_Hrich,f_Herich
L_Halpha,0.39646530879669784,0.069794770929336,0.27928055196284496,0.14968172029378538,0.06979477092933602,0.1835407448877099,
L_Hbeta,0.3954044274257196,0.06906398682098339,0.2783359403046458,0.15061518642738506,0.0690639868209834,0.18397232305178554,
L_Hgamma,0.39559232183306897,0.06919277887069444,0.2785033180040392,0.15044896184363019,0.06919277887069443,0.18389597663115612,
EW_Halpha,0.017377599640275743,0.38304733843460254,-0.08199953309143938,0.6151790760719337,0.3830473384346025,-0.2315082489273527,
Halpha_Hbeta,0.3792080981811302,0.15468240037865671,0.3407301908521434,-0.21797150726154316,0.1546824003786567,0.0983013230892616,
Halpha_Hgamma,0.37927242370057224,0.15456023155890128,0.3408359975257011,-0.21802066075537793,0.15456023155890128,0.09826447070323732,
L_Balmer_tot,0.39613562946078074,0.06956716204431307,0.27898685205627716,0.14997279475162703,0.06956716204431303,0.1836756227564881,
L_He1,0.06567989740302699,-0.6172203943116521,0.4304662273260964,0.6949688801300976,-0.6924863030743584,0.17156105090636514,0.7394064754198342
He1_He2,0.1188321362842129,0.33415829942339575,-0.35200045944963615,-0.14592243787725834,0.3682437969536359,-0.08320142475795424,-0.5730997964559242
L_He_tot,0.011774291817423859,-0.5373353223693732,0.3502929041666755,0.5735811313054545,-0.5979354298825333,0.1348684429668832,0.6376279555774828
