,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
L_Halpha,-0.34718359896753215,-0.07502465034425967,0.1287233796978814,0.20493823074207224,-0.2527840971644562,0.027298311365099324,-0.010142312655829357,0.7534336608036873,0.42042608756442856,0.07808471760027887
L_Hbeta,-0.3471717290325619,-0.07509058385854754,0.12872015592303584,0.20527773005566474,-0.2547948748741835,0.02728845878852531,0.007350181293572212,-0.6291201263046509,0.4639968365350092,0.37191539190027945
L_Hgamma,-0.3471738358800162,-0.07507891777146379,0.1287206639896506,0.20521759326202121,-0.25443929385063435,0.02729089697559809,0.00423010224025558,-0.18140481709203243,-0.11327409490559523,-0.8389931135269509
EW_Halpha,-0.3296239155310557,-0.12687900134739102,0.1858883339174632,-0.9027448849350145,-0.15229171843361683,-0.05053872501983432,-0.00025126475772849883,-2.1674466652540163e-07,1.716037987476004e-08,-1.1031616558084077e-09
Halpha_Hbeta,-0.3463550241752849,-0.04643233667792682,0.1265046401505386,0.0623968398733994,0.5949666010569556,-0.07005496089796677,0.7064143136279946,0.008342611247276779,0.0007136131374933256,0.0010958599523291665
Halpha_Hgamma,-0.3463456064963605,-0.04636401309601024,0.12678116024294944,0.06178754266064297,0.5953813841504925,-0.052607182899314577,-0.707567555999472,-0.010147951939007471,-0.00041915133586921014,-0.0015572169691610686
L_Balmer_tot,-0.3471798088771655,-0.0750459423867993,0.12872165409761993,0.2050486424135533,-0.2534287659103918,0.027246672440908552,-0.0006897657436286353,0.05886677913079092,-0.7714383546807018,0.3894465916728172
L_He1,0.26494604609554356,-0.5383615996295679,0.4188385421320913,0.011939010703402525,0.09143534548726001,0.6752562017429673,0.008411655712225553,-1.466642836063295e-06,-1.8247359020529005e-07,1.551891537017115e-08
He1_He2,-0.13215606788896916,-0.6868345388128537,-0.7123327638948105,-0.0013726426605573097,0.01549787895960056,-0.05596711080931744,-0.0008588383861712277,-6.258771166637578e-08,2.1176208355652512e-08,7.111652659679919e-11
L_He_tot,0.2857292528505093,-0.4421370923700289,0.42924129490836266,0.09433107297489096,-0.044234095291051524,-0.7264229735810929,-0.008952837340704732,1.940545093240736e-06,1.8439038477551689e-07,-1.5454561928524413e-08
