model,epoch_d,rank,line,species,L_line,EW,tau,frac_epoch
A1,10.0,1,Halpha,H,2.327610671624696e+40,-224.290538331128,41400.448516641525,0.411905029477942
A1,10.0,2,He_I_10830,He,1.0946363618679655e+40,-432.9395065813396,167540.7056021349,0.19371204488769952
A1,10.0,3,Hbeta,H,8.048626270791376e+39,-43.04686812676396,10281.852985652687,0.14243230973903243
A1,10.0,4,He_I_5876,He,6.39598896026625e+39,-16.97072470201348,77865.76008145559,0.11318645567903869
A1,10.0,5,Hgamma,H,3.78568479535759e+39,-17.454831520373542,3656.700544881777,0.06699327452977898
A1,10.0,6,He_I_7065,He,2.242765823805988e+39,-25.475984873050084,10495.308090996099,0.039689048260038266
A1,10.0,7,Palpha,H,9.466466550333458e+38,-233.9523785206038,279965.30397074635,0.016752308412236804
A1,10.0,8,Pbeta,H,7.116157291235021e+38,-48.18577093105297,39150.827995806714,0.012593089619965692
A1,10.0,9,He_I_6678,He,1.3918424028449868e+38,-1.2740142014099647,0.0,0.002463070362073653
A1,10.0,10,O_I_7774,metal,1.5327424042074728e+37,-0.2749105477057556,0.0,0.00027124136905012816
A1,10.0,11,C_III_1909,metal,1.0638504214360457e+35,-0.0010412387057196124,0.0,1.8826401878277335e-06
A1,10.0,12,O_I_6300,metal,9.296297210815463e+33,-9.934145286774107e-05,0.0,1.645116867411438e-07
A1,10.0,13,C_II_4267,metal,3.838382431675059e+33,-2.0614988326456695e-05,0.0,6.792583690824641e-08
A1,10.0,14,C_II_6580,metal,7.111757636108327e+32,-8.399860186445727e-06,0.0,1.2585303781480132e-08
A1,10.0,15,O_III_5007,metal,7.268069541305368e+27,-4.918677127868011e-11,0.0,1.2861920746262298e-13
A1,10.0,16,Ne_III_3869,metal,4.572139550188499e+23,-0.0,0.0,8.091075106143523e-18
A1,10.0,17,He_II_1640,He,3.760303627655139e+20,0.0942775604633273,1.789207571924386e-16,6.65441173421912e-21
A1,10.0,18,He_II_4686,He,5.555062457362028e+19,-5.13329286344055,9.882133624046704e-25,9.830502124542837e-22
A1,10.0,19,He_II_3203,He,2.4079906242927604e+19,1.6219404469569314,7.39527724228413e-26,4.261294473227288e-22
A1,10.0,20,C_IV_1549,metal,5.566858542677654e+18,-0.0,0.0,9.851377036867695e-23
A1,10.0,21,He_II_10124,He,4.747023002812863e+18,-5.19565208598605,1e-30,8.400557162514065e-23
A1,10.0,22,C_III_4647,metal,1.2447879369033296e+17,-0.0,0.0,2.202835801083773e-24
A1,10.0,23,C_III_5696,metal,1.6927474267321378e+16,-0.0,0.0,2.995566170952994e-25
A1,10.0,24,C_IV_5801,metal,3.1373781561458386e-09,-0.0,0.0,5.552053260645446e-50
A1,20.0,1,Halpha,H,4.349371090871632e+40,-362.99453373966327,31584.276403477834,0.5180994291857012
A1,20.0,2,Hbeta,H,1.4742565241586041e+40,-2.1587878999577867,7140.297759877563,0.17561423196170592
A1,20.0,3,He_I_10830,He,9.448552701588188e+39,-95.88048253468821,121778.60703879158,0.11255166917345787
A1,20.0,4,Hgamma,H,6.958648479670951e+39,6.078288885607606,2394.0361579252985,0.08289179584579792
