# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 50.0 d   T_phot: 6015.14210451247 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 1.2100e+42 erg/s   peak F = 17.667 @ Δv = +399.8 km/s   EW = -6723.95 Å
#
# Phase 5b empirical correction:
#   R = L_prod / L_phase5(Hα) = 7.1684
#   Applied to L_line, EW, (F_norm−1) of ALL lines as
#   uniform scaling. For Hα: when R is L-based, the
#   corrected Hα L_line matches production exactly; when
#   R is EW-based, the corrected Hα EW matches production.
#   Default R = L_prod / L_phase5 avoids EW-cancellation
#   pathology in P-Cygni profiles with comparable
#   absorption and emission contributions. Set env var
#   SNLINE_R_MODE=ew for legacy EW-based correction.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   6.35e-01       1.6879e+41       1.2100e+42   -1368.99    -9813.45       73.828     +1240.0
  HI      Hbeta            4861.33   8.96e-02       8.4342e+39       6.0459e+40     -42.76     -306.54       14.437     +2920.1
  HI      Hgamma           4340.47   2.99e-02       8.0207e+39       5.7496e+40     -41.60     -298.23       10.402     +1240.0
  HI      Palpha          18751.01   1.19e-01       4.2989e+38       3.0817e+39     -70.44     -504.98       17.170     +3060.1
  HI      Pbeta           12818.08   1.45e-02       9.6134e+38       6.8913e+39     -13.24      -94.93        9.531      +960.0
# --- He I ---
  HeI     He_I_5876        5875.62   5.93e-04       1.5489e+39       1.1103e+40    -235.05    -1684.92       29.025     -1700.0
  HeI     He_I_6678        6678.15   1.01e-07       1.3145e+39       9.4231e+39    -281.23    -2015.95       31.443     -1860.0
  HeI     He_I_7065        7065.19   8.06e-05       6.5991e+38       4.7305e+39    -327.04    -2344.33       34.798     -1940.0
  HeI     He_I_10830      10830.34   3.06e+02       5.1531e+38       3.6940e+39     +60.57     +434.21       14.268     +2960.1
# --- He II ---
  HeII    He_II_1640       1640.42   1.40e-30       1.9122e+25       1.3707e+26      +2.54      +18.18        9.586     +2420.1
  HeII    He_II_3203       3203.10   1.00e-30       1.2048e+24       8.6365e+24      -3.43      -24.61        9.394      -340.0
  HeII    He_II_4686       4685.71   4.95e-30       2.7799e+24       1.9927e+25      -2.84      -20.36        7.305     -3660.1
  HeII    He_II_10124     10123.60   1.24e-29       2.3751e+23       1.7026e+24      +4.56      +32.68        5.103      +160.0
