==============================================================================
 day050 (epoch 50.0d) — RT-NLTE convergence audit
==============================================================================

Final L_line: 1.9896e+42 erg/s
L_line variation across 9 iterations: 0.014% (range 1.9893e+42 – 1.9896e+42)

L_line is INVARIANT across iterations (<1%).
Any per-zone n_3 oscillation visible below is NUMERICAL,
not affecting the global line answer.

Per-iteration history (worst-oscillating zone):

   it       L_line     Δn3_max   zone      r [cm]    X_HII        n_e    T [K]         n_3       J_bar
    1   1.9896e+42  1179779967.66%    111   3.256e+15   0.0002  3.825e+04     2883   1.666e-05   1.646e-03
    2   1.9896e+42  672503802.26%    116   3.425e+15   0.0002  1.785e+04     2817   1.746e-06   6.566e-04
    3   1.9896e+42  271521560.03%    105   3.063e+15   0.0002  6.334e+04     2971   1.895e-05   1.499e-04
    4   1.9896e+42  46017116.09%     88   2.773e+15   0.0002  2.031e+05     3168   1.539e-04   1.046e-04
    5   1.9896e+42     103.92%     92   2.845e+15   0.0002  1.395e+05     3110   6.868e-05   9.546e-05
    6   1.9896e+42     111.51%     78   2.682e+15   0.0002  3.204e+05     3249   1.822e-04   4.629e-05
    7   1.9896e+42     601.03%    100   2.947e+15   0.0002  1.111e+05     3040   8.672e-05   2.433e-04
    8   1.9896e+42  453908918.07%    108   3.169e+15   0.0002  4.043e+04     2923   1.032e-05   2.502e-04

Most-frequently-worst zone: idx=111  (1/8 iters)
