# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 50.0 d   T_phot: 6015.14210451247 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 1.9896e+42 erg/s   peak F = 28.217 @ Δv = +399.8 km/s   EW = -10958.01 Å
#
# Phase 5b empirical correction:
#   R = L_prod / L_phase5(Hα) = 8.4161
#   Applied to L_line, EW, (F_norm−1) of ALL lines as
#   uniform scaling. For Hα: when R is L-based, the
#   corrected Hα L_line matches production exactly; when
#   R is EW-based, the corrected Hα EW matches production.
#   Default R = L_prod / L_phase5 avoids EW-cancellation
#   pathology in P-Cygni profiles with comparable
#   absorption and emission contributions. Set env var
#   SNLINE_R_MODE=ew for legacy EW-based correction.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   6.25e-01       2.3640e+41       1.9896e+42   -1919.12   -16151.57      117.871     +1160.0
  HI      Hbeta            4861.33   8.95e-02       6.1610e+39       5.1852e+40     -26.37     -221.94       15.085     +1880.0
  HI      Hgamma           4340.47   2.99e-02       4.8572e+39       4.0879e+40     -17.93     -150.91        9.903     -4700.1
  HI      Palpha          18751.01   1.98e-01       3.3919e+38       2.8546e+39     -75.29     -633.64       21.199     +3120.1
  HI      Pbeta           12818.08   2.42e-02       7.2108e+38       6.0687e+39      -8.88      -74.73       11.219     +1500.0
# --- He I ---
  HeI     He_I_5876        5875.62   5.93e-04       3.0739e+38       2.5871e+39    -217.41    -1829.75       31.107     -1780.0
  HeI     He_I_6678        6678.15   1.01e-07       3.1192e+38       2.6251e+39    -282.19    -2374.95       37.438     -2120.1
  HeI     He_I_7065        7065.19   8.06e-05       1.6726e+38       1.4077e+39    -297.04    -2499.94       36.136     -2100.1
  HeI     He_I_10830      10830.34   3.06e+02       1.7518e+38       1.4743e+39     +62.18     +523.32       16.362     +4040.1
# --- He II ---
  HeII    He_II_1640       1640.42   1.40e-30       1.7927e+07       1.5088e+08      +4.77      +40.16       13.220      +640.0
  HeII    He_II_3203       3203.10   1.00e-30       9.2422e+04       7.7784e+05      +6.07      +51.05        7.768      +480.0
  HeII    He_II_4686       4685.71   4.95e-30       2.2355e+05       1.8814e+06      -0.15       -1.24        8.967     -2200.1
  HeII    He_II_10124     10123.60   1.25e-29       1.8220e+04       1.5334e+05      +6.40      +53.84        5.870     +4160.1
