         t-t0          tau          rho            T            r            v
  -2.7642D-02   8.6526D+05   2.4774D-09   9.2470D+04   7.0683D+12   4.8770D-01
   6.2358D-02   7.8870D+05   5.7810D-10   7.8163D+04   7.4416D+12   4.6230D-01
   4.6236D-01   5.5521D+05   1.1350D-10   6.2230D+04   8.9925D+12   4.2160D-01
   9.6236D-01   3.9544D+05   4.7863D-11   5.4075D+04   1.0815D+13   4.0320D-01
   1.9624D+00   2.3590D+05   1.7140D-11   4.5394D+04   1.4308D+13   3.8660D-01
   2.9624D+00   1.6070D+05   8.5310D-12   4.0458D+04   1.7698D+13   3.7800D-01
   3.9624D+00   1.1739D+05   4.9659D-12   3.7068D+04   2.1029D+13   3.7260D-01
   4.9624D+00   8.7912D+04   3.0690D-12   3.4277D+04   2.4566D+13   3.6860D-01
   5.9624D+00   7.2768D+04   2.1577D-12   3.4435D+04   2.7573D+13   3.6450D-01
   6.9624D+00   5.9875D+04   1.5488D-12   4.2954D+04   3.0751D+13   3.4850D-01
   7.9624D+00   4.8741D+04   1.1722D-12   5.2481D+04   3.3706D+13   3.1390D-01
   8.9624D+00   4.0207D+04   9.3541D-13   5.8210D+04   3.6306D+13   2.7420D-01
   9.9624D+00   3.3850D+04   7.7804D-13   6.0674D+04   3.8587D+13   2.4140D-01
   1.1962D+01   2.5381D+04   5.8210D-13   6.0814D+04   4.2485D+13   2.0320D-01
   1.3962D+01   1.9397D+04   4.6026D-13   5.8614D+04   4.5923D+13   1.8630D-01
   1.5962D+01   1.5416D+04   3.7584D-13   5.5847D+04   4.9145D+13   1.7800D-01
   1.7962D+01   1.2738D+04   3.1261D-13   5.3088D+04   5.2260D+13   1.7340D-01
   1.9962D+01   1.0866D+04   2.6363D-13   5.0466D+04   5.5309D+13   1.7050D-01
   2.1962D+01   9.1986D+03   2.2439D-13   4.7973D+04   5.8336D+13   1.6860D-01
   2.3962D+01   7.8375D+03   1.9320D-13   4.5709D+04   6.1302D+13   1.6730D-01
   2.5962D+01   6.7415D+03   1.6788D-13   4.3652D+04   6.4262D+13   1.6630D-01
   2.7962D+01   5.8865D+03   1.4655D-13   4.1783D+04   6.7208D+13   1.6560D-01
   2.9962D+01   5.1923D+03   1.2912D-13   3.9994D+04   7.0142D+13   1.6500D-01
   3.1962D+01   4.6287D+03   1.1402D-13   3.8371D+04   7.3064D+13   1.6450D-01
   3.3962D+01   4.0783D+03   1.0139D-13   3.6898D+04   7.5984D+13   1.6400D-01
   3.5962D+01   3.5668D+03   9.0573D-14   3.5400D+04   7.8892D+13   1.6380D-01
   3.7962D+01   3.1203D+03   8.1283D-14   3.4119D+04   8.1794D+13   1.6350D-01
   3.9962D+01   2.7410D+03   7.3282D-14   3.2885D+04   8.4695D+13   1.6320D-01
   4.1962D+01   2.4223D+03   6.6222D-14   3.1769D+04   8.7588D+13   1.6290D-01
   4.3962D+01   2.1537D+03   6.0117D-14   3.0690D+04   9.0478D+13   1.6260D-01
   4.5962D+01   1.9264D+03   5.4702D-14   2.9717D+04   9.3366D+13   1.6250D-01
   4.7962D+01   1.7340D+03   4.9888D-14   2.8774D+04   9.6249D+13   1.6230D-01
   4.9962D+01   1.5698D+03   4.5709D-14   2.7925D+04   9.9130D+13   1.6220D-01
   5.1962D+01   1.4298D+03   4.1879D-14   2.7102D+04   1.0201D+14   1.6210D-01
   5.3962D+01   1.3097D+03   3.8548D-14   2.6303D+04   1.0489D+14   1.6210D-01
   5.5962D+01   1.2070D+03   3.5563D-14   2.5527D+04   1.0776D+14   1.6200D-01
   5.7962D+01   1.1201D+03   3.2810D-14   2.4831D+04   1.1064D+14   1.6200D-01
   5.9962D+01   1.0403D+03   3.0409D-14   2.4155D+04   1.1352D+14   1.6200D-01
   6.1962D+01   9.6568D+02   2.8184D-14   2.3496D+04   1.1640D+14   1.6200D-01
   6.3962D+01   8.9829D+02   2.6242D-14   2.2856D+04   1.1927D+14   1.6210D-01
   6.5962D+01   8.3550D+02   2.4378D-14   2.2284D+04   1.2215D+14   1.6210D-01
   6.7962D+01   7.7730D+02   2.2751D-14   2.1677D+04   1.2503D+14   1.6210D-01
   6.9962D+01   7.2302D+02   2.1232D-14   2.1135D+04   1.2790D+14   1.6210D-01
   7.1962D+01   6.7270D+02   1.9907D-14   2.0654D+04   1.3078D+14   1.6210D-01
   7.3962D+01   6.2575D+02   1.8621D-14   2.0137D+04   1.3366D+14   1.6200D-01
   7.5962D+01   5.8214D+02   1.7458D-14   1.9634D+04   1.3654D+14   1.6200D-01
   7.7962D+01   5.4121D+02   1.6406D-14   1.9187D+04   1.3941D+14   1.6200D-01
   7.9962D+01   5.0303D+02   1.5453D-14   1.8750D+04   1.4229D+14   1.6200D-01
   8.1962D+01   4.6723D+02   1.4555D-14   1.8323D+04   1.4517D+14   1.6190D-01
   8.3962D+01   4.3384D+02   1.3709D-14   1.7906D+04   1.4804D+14   1.6190D-01
   8.5962D+01   4.0237D+02   1.2942D-14   1.7498D+04   1.5091D+14   1.6180D-01
   8.7962D+01   3.7300D+02   1.2218D-14   1.7100D+04   1.5379D+14   1.6180D-01
   8.9962D+01   3.4493D+02   1.1561D-14   1.6711D+04   1.5666D+14   1.6180D-01
   9.1962D+01   3.1835D+02   1.0965D-14   1.6368D+04   1.5953D+14   1.6170D-01
   9.3962D+01   2.9315D+02   1.0375D-14   1.5996D+04   1.6240D+14   1.6170D-01
   9.5962D+01   2.6872D+02   9.8628D-15   1.5668D+04   1.6527D+14   1.6160D-01
   9.7962D+01   2.4516D+02   9.3541D-15   1.5311D+04   1.6814D+14   1.6160D-01
   9.9962D+01   2.2274D+02   8.8920D-15   1.4997D+04   1.7101D+14   1.6160D-01
   1.0296D+02   1.9074D+02   8.2604D-15   1.4488D+04   1.7531D+14   1.6150D-01
   1.0596D+02   1.6093D+02   7.6736D-15   1.3996D+04   1.7961D+14   1.6150D-01
   1.0996D+02   1.2469D+02   6.9823D-15   1.3274D+04   1.8535D+14   1.6140D-01
   1.1296D+02   1.0018D+02   6.5163D-15   1.2706D+04   1.8965D+14   1.6140D-01
