==============================================================================
 day050 (epoch 50.0d) — RT-NLTE convergence audit
==============================================================================

Final L_line: 1.2100e+42 erg/s
L_line variation across 9 iterations: 0.015% (range 1.2098e+42 – 1.2100e+42)

L_line is INVARIANT across iterations (<1%).
Any per-zone n_3 oscillation visible below is NUMERICAL,
not affecting the global line answer.

Per-iteration history (worst-oscillating zone):

   it       L_line     Δn3_max   zone      r [cm]    X_HII        n_e    T [K]         n_3       J_bar
    1   1.2100e+42  457682021.24%    108   3.169e+15   0.0002  4.043e+04     2923   1.041e-05   2.535e-04
    2   1.2100e+42  453309354.00%    116   3.425e+15   0.0002  1.785e+04     2817   1.177e-06   1.997e-04
    3   1.2100e+42  395538458.28%    109   3.211e+15   0.0002  3.730e+04     2903   6.521e-06   2.088e-04
    4   1.2100e+42  159210480.35%    118   3.592e+15   0.0002  8.235e+03     2753   7.672e-08   5.316e-05
    5   1.2100e+42  441101425.28%    114   3.337e+15   0.0002  3.167e+04     2850   3.581e-06   1.366e-04
    6   1.2100e+42  403872185.11%    111   3.256e+15   0.0002  3.825e+04     2883   5.705e-06   1.502e-04
    7   1.2100e+42     177.28%    109   3.211e+15   0.0002  3.730e+04     2903   7.900e-06   2.820e-04
    8   1.2100e+42  467613051.46%    115   3.374e+15   0.0002  2.493e+04     2831   2.262e-06   1.549e-04

Most-frequently-worst zone: idx=109  (2/8 iters)
