# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 50.0 d   T_phot: 6015.14210451247 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 1.2100e+42 erg/s   peak F = 18.013 @ Δv = +399.8 km/s   EW = -6729.27 Å
#
# Phase 5b empirical correction:
#   R = L_prod / L_phase5(Hα) = 7.1580
#   Applied to L_line, EW, (F_norm−1) of ALL lines as
#   uniform scaling. For Hα: when R is L-based, the
#   corrected Hα L_line matches production exactly; when
#   R is EW-based, the corrected Hα EW matches production.
#   Default R = L_prod / L_phase5 avoids EW-cancellation
#   pathology in P-Cygni profiles with comparable
#   absorption and emission contributions. Set env var
#   SNLINE_R_MODE=ew for legacy EW-based correction.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   6.34e-01       1.6903e+41       1.2100e+42   -1367.20    -9786.48       69.752     +1540.0
  HI      Hbeta            4861.33   8.96e-02       8.4618e+39       6.0570e+40     -45.50     -325.71       12.785     +2340.1
  HI      Hgamma           4340.47   2.99e-02       8.0483e+39       5.7610e+40     -38.03     -272.22        9.179     -4980.1
  HI      Palpha          18751.01   1.28e-01       4.2998e+38       3.0778e+39     -71.64     -512.79       16.014     +2920.1
  HI      Pbeta           12818.08   1.56e-02       9.6152e+38       6.8826e+39     -12.18      -87.20        8.479     +1800.0
# --- He I ---
  HeI     He_I_5876        5875.62   5.93e-04       1.5489e+39       1.1087e+40    -229.54    -1643.04       26.381     -1720.0
  HeI     He_I_6678        6678.15   1.01e-07       1.3145e+39       9.4095e+39    -297.71    -2131.00       31.829     -1980.0
  HeI     He_I_7065        7065.19   8.06e-05       6.5991e+38       4.7237e+39    -308.93    -2211.30       31.207     -1920.0
  HeI     He_I_10830      10830.34   3.06e+02       5.1531e+38       3.6886e+39     +51.96     +371.92       13.392     +3300.1
# --- He II ---
  HeII    He_II_1640       1640.42   1.40e-30       1.9122e+25       1.3687e+26      -0.20       -1.44        5.316     +1940.0
  HeII    He_II_3203       3203.10   1.00e-30       1.2048e+24       8.6241e+24      +2.30      +16.44        4.798      +880.0
  HeII    He_II_4686       4685.71   4.95e-30       2.7799e+24       1.9898e+25      +2.44      +17.49        3.634     +1540.0
  HeII    He_II_10124     10123.60   1.24e-29       2.3751e+23       1.7001e+24      -1.58      -11.30        2.880     +2860.1
