==============================================================================
 day050 (epoch 50.0d) — RT-NLTE convergence audit
==============================================================================

Final L_line: 1.9697e+42 erg/s
L_line variation across 9 iterations: 1.928% (range 1.9368e+42 – 1.9741e+42)

L_line varies modestly across iterations (1-10%).
Per-zone oscillations may have a small global effect.

Per-iteration history (worst-oscillating zone):

   it       L_line     Δn3_max   zone      r [cm]    X_HII        n_e    T [K]         n_3       J_bar
    1   1.9741e+42    7278.84%      1   1.385e+15   0.0318  6.042e+09     5772   1.015e+05   3.339e-05
    2   1.9729e+42     203.98%     66   2.257e+15   0.0000  2.127e+04     3662   2.372e-06   8.857e-05
    3   1.9720e+42   65552.16%     75   2.656e+15   0.0000  6.469e+03     3279   1.773e-06   1.631e-02
    4   1.9712e+42      19.15%     60   2.098e+15   0.0000  3.672e+04     3835   1.093e-05   6.394e-05
    5   1.9706e+42      80.77%     66   2.257e+15   0.0000  2.127e+04     3662   2.869e-06   1.188e-04
    6   1.9702e+42    5694.07%     71   2.483e+15   0.0000  1.158e+04     3442   2.110e-06   4.916e-04
    7   1.9699e+42    2174.62%     70   2.426e+15   0.0000  1.415e+04     3498   1.942e-06   2.544e-04
    8   1.9697e+42     119.12%     65   2.227e+15   0.0000  2.387e+04     3696   2.725e-06   6.468e-05

Most-frequently-worst zone: idx=66  (2/8 iters)
