# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 50.0 d   T_phot: 6015.14210451247 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 1.2118e+42 erg/s   peak F = 16.918 @ Δv = +399.8 km/s   EW = -6714.84 Å
#
# species  line          λ_rest[Å]   τ_med     L_line[erg/s]    L_cont_band[erg/s]   EW[Å]     peak F   peak Δv[km/s]
# ----------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   6.30e-03       8.9806e+39         2.1349e+40    -45.85     2.950     +3520.1
  HI      Hbeta            4861.33   8.72e-04       6.2261e+39         1.9423e+40    -18.19     2.094     +2280.1
  HI      Hgamma           4340.47   2.91e-04       5.0699e+39         1.6878e+40    -13.26     1.875     -4560.1
  HI      Palpha          18751.01   1.58e-04       1.7040e+39         4.6290e+39    -75.26     2.107     -4980.1
  HI      Pbeta           12818.08   2.12e-05       2.3784e+39         1.0014e+40   -137.53     2.034     -3700.1
# --- He I ---
  HeI     He_I_5876        5875.62   5.93e-04       1.5489e+39         2.1495e+40   -222.12     4.537     -1980.0
  HeI     He_I_6678        6678.15   1.01e-07       1.3145e+39         2.1243e+40   -291.02     5.221     -1740.0
  HeI     He_I_7065        7065.19   8.06e-05       6.5991e+38         2.0762e+40   -307.34     5.130     -1840.0
  HeI     He_I_10830      10830.34   3.06e+02       5.1531e+38         1.3245e+40    +46.73     2.829     +3620.1
# --- He II ---
  HeII    He_II_1640       1640.42   1.40e-30       1.9122e+25         9.5089e+37     -1.38     1.701      +740.0
  HeII    He_II_3203       3203.10   1.00e-30       1.2048e+24         8.0147e+39     -1.79     1.534      -920.0
  HeII    He_II_4686       4685.71   4.95e-30       2.7799e+24         1.8689e+40     +4.46     1.477     -1080.0
  HeII    He_II_10124     10123.60   1.24e-29       2.3751e+23         1.4613e+40     -2.22     1.269      +160.0
