 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
      0.000000E+00       4.282000E+01       4.212320E+01
      6.390858E-01       4.281900E+01       4.210380E+01
      1.276076E+00       4.280900E+01       4.208493E+01
      2.476679E+00       4.277600E+01       4.205077E+01
      3.558046E+00       4.274000E+01       4.202160E+01
      4.594415E+00       4.270500E+01       4.199489E+01
      5.652786E+00       4.267000E+01       4.196895E+01
      6.661543E+00       4.264100E+01       4.194542E+01
      7.674063E+00       4.261500E+01       4.192293E+01
      8.798529E+00       4.258900E+01       4.189938E+01
      9.865366E+00       4.256700E+01       4.187835E+01
      1.098597E+01       4.254600E+01       4.185751E+01
      1.207391E+01       4.252600E+01       4.183847E+01
      1.314708E+01       4.250800E+01       4.182092E+01
      1.417371E+01       4.248900E+01       4.180502E+01
      1.522737E+01       4.246500E+01       4.178972E+01
      1.630990E+01       4.244600E+01       4.177495E+01
      1.736089E+01       4.243600E+01       4.176148E+01
      1.842965E+01       4.241300E+01       4.174865E+01
      1.945037E+01       4.239800E+01       4.173703E+01
      2.019147E+01       4.238500E+01       4.172908E+01
      2.075253E+01       4.237200E+01       4.172321E+01
      2.175389E+01       4.234800E+01       4.171324E+01
      2.277845E+01       4.233700E+01       4.170364E+01
      2.384932E+01       4.232100E+01       4.169408E+01
      2.487287E+01       4.230100E+01       4.168538E+01
      2.591056E+01       4.229600E+01       4.167715E+01
      2.700828E+01       4.229000E+01       4.166876E+01
      2.802931E+01       4.227700E+01       4.166134E+01
      2.908963E+01       4.227400E+01       4.165398E+01
      3.011502E+01       4.227200E+01       4.164709E+01
      3.086230E+01       4.227100E+01       4.164237E+01
      3.182137E+01       4.227000E+01       4.163639E+01
      3.283505E+01       4.226700E+01       4.163033E+01
      3.393772E+01       4.226600E+01       4.162397E+01
      3.393846E+01       4.226700E+01       4.162397E+01
      3.427028E+01       4.226700E+01       4.162211E+01
      3.532806E+01       4.226700E+01       4.161627E+01
      3.639561E+01       4.226500E+01       4.161045E+01
      3.748974E+01       4.226200E+01       4.160477E+01
      3.843314E+01       4.226100E+01       4.159999E+01
      3.943455E+01       4.226200E+01       4.159494E+01
      4.039065E+01       4.226200E+01       4.159028E+01
      4.149074E+01       4.226200E+01       4.158501E+01
      4.232568E+01       4.226100E+01       4.158070E+01
      4.330705E+01       4.226200E+01       4.157657E+01
      4.433780E+01       4.226200E+01       4.157194E+01
      4.526581E+01       4.226000E+01       4.156773E+01
      4.620556E+01       4.225600E+01       4.156360E+01
      4.714535E+01       4.225500E+01       4.155943E+01
      4.821580E+01       4.225600E+01       4.155485E+01
      4.906896E+01       4.225500E+01       4.155108E+01
      5.001922E+01       4.225100E+01       4.154704E+01
      5.112832E+01       4.225100E+01       4.154233E+01
      5.212919E+01       4.224400E+01       4.153807E+01
      5.317233E+01       4.224100E+01       4.153390E+01
      5.419491E+01       4.223800E+01       4.152956E+01
      5.527740E+01       4.223700E+01       4.152504E+01
      5.627870E+01       4.224000E+01       4.152101E+01
      5.713845E+01       4.223800E+01       4.151746E+01
      5.810683E+01       4.223400E+01       4.151348E+01
