# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.9 d   T_phot: 9767.518138596077 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 9.1225e+39 erg/s   peak F = 4.080 @ Δv = +28.7 km/s   EW = -37.48 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   0.00e+00       4.8431e+45       9.1225e+39  -18392447.44      -34.64        4.348      -120.0
  HI      Hbeta            4861.33   0.00e+00       5.0915e+44       3.1579e+39  -1011218.21       -6.27        1.801      -180.0
  HI      Hgamma           4340.47   0.00e+00       1.5880e+44       1.4850e+39  -262498.68       -2.45        1.363      -140.0
  HI      Palpha          18751.01   3.43e+05       3.3918e+42       3.7103e+38  -348746.99      -38.15        3.755      -160.0
  HI      Pbeta           12818.08   4.68e+04       5.4044e+41       2.7895e+38  -14950.91       -7.72        1.821      -160.0
# --- He I ---
  HeI     He_I_5876        5875.62   2.05e+06       3.3474e+39       6.3052e+33      -5.71       -0.00        1.000      -280.0
  HeI     He_I_6678        6678.15   0.00e+00       5.2343e+37       5.2343e+37      -0.49       -0.49        1.515      -180.0
  HeI     He_I_7065        7065.19   2.75e+05       1.1292e+39       2.1270e+33      -5.68       -0.00        1.000      -280.0
  HeI     He_I_10830      10830.34   4.97e+06       3.8254e+39       7.2056e+33     -61.40       -0.00        1.000      -280.0
# --- He II ---
  HeII    He_II_1640       1640.42   3.43e-15       3.8345e+23       3.8345e+23      +3.29       +3.29        1.787      -120.0
  HeII    He_II_3203       3203.10   4.49e-25       2.4629e+22       2.4629e+22      +2.31       +2.31        1.667      +840.0
  HeII    He_II_4686       4685.71   6.05e-24       5.6816e+22       5.6816e+22      +1.32       +1.32        1.554     -1800.0
  HeII    He_II_10124     10123.60   1.00e-30       4.8552e+21       4.8552e+21      +3.60       +3.60        1.397     +2580.1
