name,epoch_d,format,n_zones,n_zones_full,R_phot,T_phot,L_phot,T_color_thermalization,photoionized,photoeq_T_source,photoeq_converged,photoeq_iterations,photoeq_final_residual,X_HII_mean,tau_es_stella,tau_es_photoeq,tau_es_ratio,Gamma_BB_at_Rphot,Gamma_brems_at_Rphot,shock_R_s,shock_v_s_kms,shock_rho_csm,shock_T_shock,shock_L_shock,shock_eta_rad,shock_L_X_brems,shock_sanity_flag,shock_sanity_ratio_LXoverLphot,L_line,L_cont_band,red_peak_F,red_peak_dv,trough_F,trough_dv,global_peak_F,global_peak_dv,sigma_res2_vs_ref,he1_n_HeI_med,he1_n_HeII_med,he1_2_3S_frac,he1_NLTE_LTE_ratio,he1_tau_10830_med,he1_tau_5876_med,he1_tau_7065_med,he1_tau_6678_med,he1_iters,he2_X_HeIII_med,he2_X_HeII_med,he2_n_HeII_med,he2_n_HeIII_med,he2_tau_4686_med,he2_tau_1640_med,he2_tau_3203_med,he2_tau_10124_med,he2_iters,n_iter_used,runtime_min
day000.1,0.1,stella,25,400,3589783064298200.0,9215.334537160672,1.407447156905e+43,17734.83252580524,True,9215.334537160672,True,1,0.0002558662937296452,0.9999672562969748,0.6541960796041659,0.683461300744497,1.0447346324026254,1.3466723768956559,0.0,813863979083497.9,4170.399654168595,3.444061756130977e-14,237172990.7089942,1.0396507738358928e+43,0.9860170402729963,1.0244315453322027e+43,False,0.6903243079728206,4.930686022955971e+40,8.100416150234743e+41,4.636095706592187,28.665236385025892,1.5639696139556372,-199.74302166294927,4.759097111708812,0.114204128933304,,0.0,59098249.52046175,8.522210415819575e+33,3.489448396030194e+45,22904375.676539034,10061644.618202817,1333726.6260615645,0.0,13,1.81593072419486e-21,1.0,59098244.28281474,1.0731831753913651e-13,1.869499817074866e-23,2.9690012590569e-14,1.3920010864761422e-24,1e-30,37,4,0.8895509640375773
day000.2,0.2,stella,25,400,3589969980294380.0,9204.810187052712,1.399947156905e+43,17608.93873090891,True,9204.810187052712,True,1,0.00029654405102108594,0.9999644332102677,0.6540367411094046,0.6832870100799463,1.044722669434329,1.3179744696235425,0.0,817448316223785.6,4167.157154168595,3.462558380205597e-14,236804328.4592998,1.0520035793539269e+43,0.9861720709919032,1.0367654312106224e+43,False,0.6995784678238901,4.933515317444856e+40,8.069938448497945e+41,4.3182301936209315,28.665236385025892,1.5858055113244998,-199.74302166294927,4.554789961326111,-28.436828126992864,,0.0,59098249.52046175,8.525568329285848e+33,3.5696338719916584e+45,22916318.112323042,10052959.655629642,1332624.0629044345,0.0,13,1.7060004768319954e-21,1.0,59098244.28281474,1.008216329264157e-13,1.7574387437220695e-23,2.8120765453720713e-14,1.308566265915696e-24,1e-30,37,3,0.7687633673350016
day000.3,0.3,stella,25,400,3590156896290561.0,9194.285836944751,1.392447156905e+43,17483.04493601259,True,9194.285836944751,True,1,0.00033713537666513194,0.9999616056421882,0.6538774033722933,0.6831127181646872,1.0447106975124334,1.2897983642444397,0.0,821032653364073.4,4163.914654168595,3.481055004280219e-14,236435952.95723948,1.0644299156781134e+43,0.9863247788173528,1.0491731226999317e+43,False,0.7089075082867659,4.936349021445225e+40,8.039338240807929e+41,4.5128262632443725,28.665236385025892,1.491171532374099,-199.74302166294927,4.653453213274606,0.114204128933304,,0.0,59098249.52046175,8.528930269147737e+33,3.6517939960887476e+45,22928271.48713327,10044263.271187976,1331519.9265795466,0.0,13,1.6025657224711185e-21,1.0,59098244.28281474,9.470882054586366e-14,1.6519321137500066e-23,2.6633888084187778e-14,1.2300115079849872e-24,1e-30,37,3,0.7680090506871541
day000.4,0.4,stella,25,400,3590343812286741.0,9183.76148683679,1.384947156905e+43,17357.15114111626,True,9183.76148683679,True,1,0.0003776375107962249,0.9999587734819879,0.6537180663928331,0.6829384249467978,1.0446987165510055,1.2621362104359877,0.0,824689819380038.2,4126.5279366396335,3.499551628354839e-14,232209218.8224707,1.0508189810340635e+43,0.9866944957292465,1.0361329363010377e+43,False,0.7010438532171088,4.939187145140582e+40,8.008615241849658e+41,4.589659072152051,28.665236385025892,1.5491881604893647,-199.74302166294927,4.645528381481521,0.114204128933304,,0.0,59098249.52046175,8.532296243473936e+33,3.7359805518866855e+45,22940235.815008435,10035555.460451854,1330414.2161693794,0.0,13,1.5052522193601869e-21,1.0,59098244.28281474,8.895776336699737e-14,1.5526062254432688e-23,2.5225090868874998e-14,1.1560585648434795e-24,1e-30,37,3,0.7671598315238952
day000.5,0.5,stella,25,400,3590530728282921.0,9173.237136728829,1.377447156905e+43,17231.25734621994,True,9173.237136728829,True,1,0.0004180476046494741,0.9999559366153628,0.6535587301710237,0.682764130372685,1.0446867264614748,1.234980249775761,0.0,828273443133294.5,4125.525436639637,3.51804825242946e-14,232096406.5655631,1.0647973003199104e+43,0.9868263584260645,1.0500558620876175e+43,False,0.7114267528130173,4.942029698775735e+40,7.977769166883614e+41,4.543269374896832,28.665236385025892,1.5383658977274854,-199.74302166294927,4.562486629371633,0.114204128933304,,0.0,59098249.52046175,8.535666260355796e+33,3.82224676165494e+45,22948696.733990144,10026836.219037177,1329306.930761552,0.0,13,1.4137067280158417e-21,1.0,59098244.28281474,8.354758555653895e-14,1.459108123286508e-23,2.389030541847374e-14,1.0864446370877623e-24,1e-30,37,3,0.7674297531445821
day000.6,0.6,stella,25,400,3590717644279101.0,9162.712786620868,1.369947156905e+43,17105.36355132361,True,9162.712786620868,True,1,0.00045836271813937124,0.9999530949243552,0.6533993947068657,0.6825898343870412,1.0446747271525576,1.208322815021298,0.0,831857066886550.9,4124.522936639635,3.536544876504081e-14,231983621.71862993,1.0788911529060095e+43,0.9869563362662849,1.0640943791806933e+43,False,0.7219162496999665,4.944876692640203e+40,7.946799731762797e+41,4.333476615812716,28.665236385025892,1.7886569094262612,-342.49818294297955,4.36801952298866,0.114204128933304,,0.0,59098249.52046175,8.539040327907449e+33,3.910647328534256e+45,22952286.79596491,10018105.542601265,1328198.0694487628,0.0,13,1.3275958645570216e-21,1.0,59098244.28281474,7.845858471244549e-14,1.3711044778937785e-23,2.2625673299109616e-14,1.0209215395796625e-24,1e-30,37,3,0.7751946489016215
day000.7,0.7,stella,25,400,3590904560275281.0,9152.188436512908,1.362447156905e+43,16979.46975642729,True,9152.188436512908,True,1,0.0004985798163310573,0.9999502482872141,0.6532400600003586,0.6824155369327811,1.0446627185301625,1.1821563293917559,0.0,835440690639807.0,4123.520436639635,3.555041500578701e-14,231870864.28167167,1.0931008833849885e+43,0.9870844646421865,1.0782488314060573e+43,False,0.7325130119614846,4.947728137056579e+40,7.91570665294982e+41,4.449573942961373,28.665236385025892,1.6472818000649754,-199.74302166294927,4.509257730943696,0.114204128933304,,0.0,59098249.52046175,8.542418454266078e+33,4.0012384800029215e+45,22964060.563876525,10009363.42684444,1327087.6313290056,0.0,13,1.2466050148651319e-21,1.0,59098244.28281474,7.367216769268147e-14,1.28828052466773e-23,2.1427535329056434e-14,9.592549110226994e-25,1e-30,37,3,0.8146020015080769
day000.8,0.8,stella,25,400,3591091476271461.0,9141.664086404948,1.354947156905e+43,16853.57596153096,True,9141.664086404948,True,1,0.0005386957659148095,0.9999473965782528,0.6530807260515026,0.6822412379509702,1.0446507004972736,1.1564733058513934,0.0,839024314393063.2,4122.517936639635,3.573538124653323e-14,231758134.2546883,1.1074268348036359e+43,0.9872107781233522,1.0925195610482606e+43,False,0.7432177102684892,4.950584042372288e+40,7.884489647534286e+41,4.360408141257266,28.665236385025892,1.6276733693550192,-342.49818294297955,4.569539223942378,-28.436828126992864,,0.0,59098249.52046175,8.545800647591373e+33,4.0940780126837024e+45,22975844.965225954,10000609.867508544,1325975.6155053729,0.0,13,1.170437306440589e-21,1.0,59098244.28281474,6.917078985374562e-14,1.2103390582026515e-23,2.0292421412724188e-14,9.012234650619631e-25,1e-30,37,3,0.8439000050226847
day000.9,0.9,stella,25,400,3591278392267641.0,9131.139736296986,1.347447156905e+43,16727.68216663464,True,9131.139736296986,True,1,0.0005787073321591452,0.9999445396677273,0.6529213928602975,0.6820669373807728,1.0446386729538688,1.131266346394673,0.0,842607938146319.5,4121.515436639635,3.592034748727943e-14,231645431.63767967,1.1218693486650066e+43,0.9873353104794366,1.1069069088526264e+43,False,0.7540310178982853,4.953444418953678e+40,7.853148433250323e+41,4.466423709629949,28.665236385025892,1.5329237190030678,-199.74302166294927,4.618432895673717,0.114204128933304,,0.0,59098249.52046175,8.549186916066263e+33,4.189225338535554e+45,22987640.01353681,9991844.860378357,1324862.0210862486,0.0,13,1.0988126349815968e-21,1.0,59098244.28281474,6.493789752318576e-14,1.136999479592171e-23,1.921704088546428e-14,8.466182807918756e-25,1e-30,37,3,0.8812757968902588
day001,1.0,stella,25,400,3591465308263822.0,9120.615386189025,1.339947156905e+43,16938.46479522138,True,9120.615386189025,True,1,0.000618611174685979,0.9999416774216685,0.652762060426744,0.6818926351593687,1.0446266357967873,1.1065281413332584,0.0,846191561899575.8,4120.512936639635,3.610531372802564e-14,231532756.43064585,1.136428764930534e+43,0.9874580947022005,1.1214112140272641e+43,False,0.7649536107537178,4.956309277181153e+40,7.821682728494304e+41,4.595948778251692,28.665236385025892,1.7151376202925026,-199.74302166294927,4.790496873499154,0.114204128933304,,0.0,59098249.52046175,8.552577267897007e+33,4.286741532474327e+45,22999445.722353805,9983068.401280994,1323746.8471852299,0.0,13,1.0314667428587826e-21,1.0,59098244.28281474,6.095787353906759e-14,1.0679968939420038e-23,1.819827334399645e-14,7.952421306603967e-25,1e-30,37,3,0.8940771341323852
