==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       2   1.053e+41      6.03       -86     4.70      1.672       -400     0.7min
day000.2     0.2       2   1.053e+41      6.01       -86     4.38      1.771       -400     0.7min
day000.3     0.3       2   1.053e+41      6.25       -86     4.52      1.757       -342     0.7min
day000.4     0.4       2   1.053e+41      6.22       -86     4.45      1.682       -342     0.7min
day000.5     0.5       2   1.054e+41      6.11      -114     4.34      1.682       -400     0.7min
day000.6     0.6       2   1.054e+41      6.10      -114     4.31      1.798       -342     0.7min
day000.7     0.7       2   1.055e+41      6.14      -114     4.58      1.874       -400     0.7min
day000.8     0.8       2   1.056e+41      6.20       -86     4.39      1.906       -371     0.7min
day000.9     0.9       2   1.056e+41      6.18       -86     4.49      1.911       -371     0.7min
  day001     1.0       2   1.057e+41      6.10       -86     4.47      1.825       -342     0.7min
  day002     2.0       2   1.062e+41      6.19       -86     4.65      1.830       -400     0.7min
  day003     3.0       2   1.062e+41      6.51      -114     4.63      1.873       -342     0.7min
  day004     4.0       2   1.074e+41      6.60      -114     4.82      2.008       -400     0.7min
  day005     5.0       2   1.083e+41      6.64      -114     4.85      1.748       -400     0.7min
  day010    10.0       2   1.004e+41      6.99      -114     5.25      1.997       -400     0.7min
  day020    20.0       4   8.913e+40      9.15      -257     7.02      2.338       -400     1.1min
  day030    30.0       6   6.785e+40     11.49      -285     7.45      2.600       -400     1.5min
  day040    40.0       6   5.956e+40     15.50      -285     9.01      2.880       -200     1.5min
  day050    50.0       6   8.324e+40      4.24      -285     2.51      0.799       -400     1.5min
  day060    60.0       6   1.289e+41      4.51      -285     4.06      1.060       -200     1.5min
  day070    70.0       6   1.687e+41      5.85       +29     5.85      1.221       -171     1.3min
  day080    80.0       6   2.392e+41     35.27       +29    35.27      6.236       -200     2.4min
  day090    90.0       6   1.679e+41     68.61       +29    68.61      8.006       -171     3.8min
  day100   100.0       6   1.330e+41     75.91       +29    75.91      8.229       -171     3.5min
  day110   110.0       6   2.139e+41    298.34       +29   298.34     33.548       -143     3.6min
  day120   120.0       6   9.866e+40   1511.74       +29  1511.74    149.552       -143     3.7min
  day130   130.0       6   7.053e+40   4803.53       +29  4803.53    483.663       -114     4.0min
  day140   140.0       6   6.076e+40  10251.86       +29  10251.86   1023.387       -114     3.9min
  day150   150.0       6   9.398e+40      1.00      +714     0.99      0.108       -400     8.0min
  day160   160.0       6   2.674e+38      2.26       +29     2.26      0.955       -400     2.3min

Total batch runtime: 83.5 min
