# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.4 d   T_phot: 7807.979190083082 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 2.6028e+40 erg/s   peak F = 7.205 @ Δv = +28.7 km/s   EW = -80.29 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   2.19e+06       9.8653e+40       2.6028e+40    -321.54      -84.83       10.595      -260.0
  HI      Hbeta            4861.33   7.65e+05       2.1290e+40       8.8728e+39     -48.31      -20.13        4.442      -260.0
  HI      Hgamma           4340.47   2.75e+05       1.7018e+40       4.1838e+39     -23.13       -5.69        2.308      -260.0
  HI      Palpha          18751.01   2.85e+07       1.5294e+38       1.0581e+39      -9.15      -63.30       11.357      -260.0
  HI      Pbeta           12818.08   3.93e+06       3.3494e+38       7.9374e+38      -2.40       -5.68        3.592      -260.0
# --- He I ---
  HeI     He_I_5876        5875.62   3.85e+06       1.8680e+39       4.9285e+38      -1.08       -0.28        1.365      -260.0
  HeI     He_I_6678        6678.15   0.00e+00       1.5191e+38       1.5191e+38      -5.08       -5.08        1.674      +100.0
  HeI     He_I_7065        7065.19   5.18e+05       7.8779e+38       2.0784e+38      +2.34       +0.62        1.200      +600.0
  HeI     He_I_10830      10830.34   1.40e+07       1.5666e+39       4.1331e+38     -13.14       -3.47        1.654      -260.0
# --- He II ---
  HeII    He_II_1640       1640.42   5.32e-21       4.5829e+16       4.5829e+16      +2.70       +2.70        1.833     +2240.1
  HeII    He_II_3203       3203.10   2.11e-28       2.9422e+15       2.9422e+15      +2.75       +2.75        1.739       +60.0
  HeII    He_II_4686       4685.71   2.05e-27       6.7874e+15       6.7874e+15      +8.39       +8.39        1.586     -3960.1
  HeII    He_II_10124     10123.60   4.07e-27       5.8002e+14       5.8002e+14      +5.02       +5.02        1.415      -500.0
