         t-t0          tau          rho            T            r            v
  -1.9001D+01   2.5054D+05   7.1285D-11   4.8195D+04   1.5384D+13   4.0610D-01
  -1.8911D+01   2.4171D+05   6.6527D-11   4.8084D+04   1.5699D+13   4.0410D-01
  -1.8511D+01   2.0848D+05   5.0003D-11   4.7643D+04   1.7083D+13   3.9630D-01
  -1.8011D+01   1.7898D+05   3.6644D-11   4.6881D+04   1.8777D+13   3.8790D-01
  -1.7011D+01   1.3530D+05   2.1928D-11   4.5290D+04   2.2071D+13   3.7480D-01
  -1.6011D+01   1.0471D+05   1.4388D-11   4.5499D+04   2.5263D+13   3.6180D-01
  -1.5011D+01   8.5278D+04   1.0375D-11   6.5917D+04   2.8095D+13   2.7110D-01
  -1.4011D+01   7.3765D+04   8.6497D-12   7.8343D+04   2.9803D+13   1.3680D-01
  -1.3011D+01   6.2147D+04   7.9250D-12   8.1658D+04   3.0671D+13   7.3500D-02
  -1.2011D+01   5.2276D+04   7.5509D-12   8.2414D+04   3.1171D+13   4.5900D-02
  -1.1011D+01   4.4388D+04   7.3114D-12   8.2414D+04   3.1500D+13   3.1700D-02
  -1.0011D+01   3.8278D+04   7.1450D-12   8.2224D+04   3.1737D+13   2.4100D-02
  -9.0108D+00   3.3624D+04   7.0146D-12   8.1846D+04   3.1926D+13   2.0200D-02
  -7.0108D+00   2.6566D+04   6.8077D-12   8.0724D+04   3.2256D+13   1.8900D-02
  -5.0108D+00   2.1461D+04   6.5766D-12   7.9068D+04   3.2606D+13   2.2000D-02
  -3.0108D+00   1.7789D+04   6.3241D-12   7.7090D+04   3.3030D+13   2.7000D-02
  -1.0108D+00   1.5093D+04   6.0395D-12   7.4989D+04   3.3546D+13   3.2400D-02
   9.8918D-01   1.3058D+04   5.7148D-12   7.2611D+04   3.4155D+13   3.7800D-02
   2.9892D+00   1.1527D+04   5.3703D-12   7.0146D+04   3.4854D+13   4.2700D-02
   4.9892D+00   1.0186D+04   5.0234D-12   6.7608D+04   3.5633D+13   4.7100D-02
   6.9892D+00   9.0203D+03   4.6774D-12   6.5013D+04   3.6482D+13   5.0800D-02
   8.9892D+00   8.0144D+03   4.3451D-12   6.2517D+04   3.7390D+13   5.3900D-02
   1.0989D+01   7.1434D+03   4.0272D-12   6.0117D+04   3.8344D+13   5.6400D-02
   1.2989D+01   6.3990D+03   3.7239D-12   5.7810D+04   3.9339D+13   5.8500D-02
   1.4989D+01   5.7664D+03   3.4435D-12   5.5463D+04   4.0365D+13   6.0200D-02
   1.6989D+01   5.2127D+03   3.1842D-12   5.3333D+04   4.1419D+13   6.1600D-02
   1.8989D+01   4.7232D+03   2.9512D-12   5.1286D+04   4.2495D+13   6.2800D-02
   2.0989D+01   4.2883D+03   2.7290D-12   4.9317D+04   4.3589D+13   6.3700D-02
   2.2989D+01   3.8983D+03   2.5351D-12   4.7424D+04   4.4698D+13   6.4400D-02
   2.4989D+01   3.5518D+03   2.3496D-12   4.5709D+04   4.5818D+13   6.5000D-02
   2.6989D+01   3.2421D+03   2.1827D-12   4.4157D+04   4.6946D+13   6.5300D-02
   2.8989D+01   2.9664D+03   2.0324D-12   4.2560D+04   4.8077D+13   6.5500D-02
   3.0989D+01   2.7202D+03   1.8967D-12   4.1115D+04   4.9211D+13   6.5700D-02
   3.2989D+01   2.5001D+03   1.7701D-12   3.9719D+04   5.0347D+13   6.5800D-02
   3.4989D+01   2.2968D+03   1.6558D-12   3.8459D+04   5.1485D+13   6.5800D-02
   3.6989D+01   2.1095D+03   1.5488D-12   3.7239D+04   5.2623D+13   6.5800D-02
   3.8989D+01   1.9383D+03   1.4521D-12   3.6058D+04   5.3760D+13   6.5800D-02
   4.0989D+01   1.7826D+03   1.3646D-12   3.4914D+04   5.4897D+13   6.5700D-02
   4.2989D+01   1.6424D+03   1.2823D-12   3.3884D+04   5.6032D+13   6.5600D-02
   4.4989D+01   1.5156D+03   1.2078D-12   3.2810D+04   5.7166D+13   6.5500D-02
   4.6989D+01   1.4004D+03   1.1376D-12   3.1842D+04   5.8297D+13   6.5400D-02
