 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
      0.000000E+00       4.281100E+01       4.186587E+01
      1.009718E+00       4.280900E+01       4.184720E+01
      2.039812E+00       4.280700E+01       4.182930E+01
      3.062925E+00       4.279000E+01       4.181245E+01
      4.093224E+00       4.277600E+01       4.179650E+01
      5.106995E+00       4.276000E+01       4.178176E+01
      6.143143E+00       4.273700E+01       4.176753E+01
      7.204784E+00       4.269900E+01       4.175381E+01
      8.217232E+00       4.267300E+01       4.174147E+01
      8.451574E+00       4.266500E+01       4.173878E+01
      9.472286E+00       4.262900E+01       4.172722E+01
      1.055153E+01       4.257300E+01       4.171575E+01
      1.163439E+01       4.254600E+01       4.170484E+01
      1.264815E+01       4.251500E+01       4.169531E+01
      1.368776E+01       4.247000E+01       4.168601E+01
      1.474770E+01       4.243200E+01       4.167697E+01
      1.578938E+01       4.240800E+01       4.166857E+01
      1.690261E+01       4.238700E+01       4.166011E+01
      1.796919E+01       4.235400E+01       4.165234E+01
      1.905695E+01       4.232400E+01       4.164473E+01
      2.010568E+01       4.231000E+01       4.163779E+01
      2.110837E+01       4.229600E+01       4.163144E+01
      2.219781E+01       4.228000E+01       4.162469E+01
      2.329301E+01       4.226300E+01       4.161826E+01
      2.431469E+01       4.224600E+01       4.161247E+01
      2.536119E+01       4.223100E+01       4.160660E+01
      2.640892E+01       4.221300E+01       4.160108E+01
      2.744447E+01       4.219400E+01       4.159572E+01
      2.844493E+01       4.217100E+01       4.159062E+01
      2.947432E+01       4.216400E+01       4.158546E+01
      3.051345E+01       4.215600E+01       4.158047E+01
      3.152246E+01       4.214700E+01       4.157565E+01
      3.259298E+01       4.214000E+01       4.157054E+01
      3.360502E+01       4.213500E+01       4.156597E+01
      3.468709E+01       4.213200E+01       4.156110E+01
      3.569383E+01       4.212800E+01       4.155654E+01
      3.671579E+01       4.212300E+01       4.155206E+01
      3.780788E+01       4.212000E+01       4.154716E+01
      3.884530E+01       4.211800E+01       4.154283E+01
      3.987856E+01       4.211600E+01       4.153820E+01
      4.094721E+01       4.211200E+01       4.153339E+01
      4.197785E+01       4.211200E+01       4.152956E+01
      4.298689E+01       4.211000E+01       4.152530E+01
      4.400918E+01       4.210700E+01       4.152114E+01
      4.502397E+01       4.210300E+01       4.151680E+01
      4.606378E+01       4.209800E+01       4.151255E+01
      4.708237E+01       4.210300E+01       4.150853E+01
      4.816270E+01       4.210200E+01       4.150420E+01
      4.920017E+01       4.210000E+01       4.149982E+01
      5.020542E+01       4.210000E+01       4.149582E+01
      5.126001E+01       4.209600E+01       4.149150E+01
      5.228378E+01       4.209400E+01       4.148756E+01
      5.339304E+01       4.209200E+01       4.148302E+01
      5.440441E+01       4.209000E+01       4.147871E+01
      5.544383E+01       4.208600E+01       4.147494E+01
      5.651167E+01       4.208300E+01       4.147056E+01
      5.757447E+01       4.208200E+01       4.146642E+01
      5.861289E+01       4.208000E+01       4.146225E+01
      5.964274E+01       4.207800E+01       4.145818E+01
      6.070157E+01       4.207400E+01       4.145408E+01
      6.171970E+01       4.207100E+01       4.144994E+01
      6.272329E+01       4.207000E+01       4.144607E+01
      6.380589E+01       4.206800E+01       4.144185E+01
      6.489093E+01       4.206700E+01       4.143743E+01
      6.589505E+01       4.206600E+01       4.143361E+01
      6.691885E+01       4.206500E+01       4.142943E+01
      6.796975E+01       4.206200E+01       4.142537E+01
      6.904381E+01       4.205600E+01       4.142111E+01
      7.008803E+01       4.205300E+01       4.141714E+01
      7.116951E+01       4.205100E+01       4.141280E+01
      7.217616E+01       4.204700E+01       4.140892E+01
      7.322509E+01       4.204100E+01       4.140466E+01
      7.431583E+01       4.203800E+01       4.140019E+01
      7.544470E+01       4.203600E+01       4.139602E+01
      7.653420E+01       4.203400E+01       4.139182E+01
      7.777559E+01       4.202900E+01       4.138703E+01
      7.878598E+01       4.202600E+01       4.138310E+01
      7.981051E+01       4.202400E+01       4.137894E+01
