==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       2   8.949e+40     10.42      -228     7.44      2.370       -400     0.9min
day000.2     0.2       2   8.927e+40     10.54      -228     7.45      2.505       -371     0.8min
day000.3     0.3       6   8.904e+40     10.29      -228     7.70      2.521       -400     1.4min
day000.4     0.4       4   8.881e+40     10.44      -228     7.34      2.259       -400     1.1min
day000.5     0.5       6   8.853e+40     10.25      -228     7.47      2.412       -371     1.4min
day000.6     0.6       2   8.785e+40     10.08      -228     7.45      2.237       -400     0.8min
day000.7     0.7       3   8.716e+40     10.51      -228     7.30      2.412       -400     1.0min
day000.8     0.8       3   8.647e+40      9.71      -228     7.42      2.358       -371     0.9min
day000.9     0.9       4   8.576e+40     10.34      -228     7.26      2.411       -400     1.1min
  day001     1.0       2   8.505e+40      9.97      -228     7.21      2.241       -371     0.8min
  day002     2.0       6   8.690e+40     10.67      -228     7.61      2.488       -371     1.4min
  day003     3.0       3   8.673e+40     10.63      -228     7.49      2.522       -400     1.0min
  day004     4.0       6   8.487e+40     10.72      -228     8.06      2.516       -400     1.4min
  day005     5.0       6   8.132e+40     10.53      -228     8.01      2.693       -400     1.4min
  day010    10.0       6   6.766e+40     11.59      -257     8.45      2.524       -400     1.5min
  day020    20.0       6   4.873e+40     15.22      -257    10.42      3.140       -400     1.6min
  day030    30.0       6   5.332e+40     20.42      -257    13.68      4.144       -400     1.6min
  day040    40.0       6   4.657e+40      7.34      -285     4.67      1.153       -400     1.5min
  day050    50.0       6   1.172e+41     11.12      -285     9.36      1.676       -171     1.5min
  day060    60.0       6   1.513e+41     14.33        +0    13.93      1.604       -171     1.4min
  day070    70.0       6   1.658e+41     67.52       +29    67.52      7.508       -171     2.8min
  day080    80.0       6   1.058e+41     60.76       +29    60.76      4.674       -171     3.0min
  day090    90.0       6   7.042e+40     48.74       +29    48.74      3.625       -171     2.9min
  day100   100.0       6   4.827e+41    344.21       +29   344.21     31.279       -171     3.2min
  day110   110.0       6   3.763e+41    398.72       +29   398.72     38.825       -171     3.1min
  day120   120.0       6   1.912e+41    431.88       +29   431.88     41.511       -143     3.4min
  day130   130.0       6   3.321e+40    739.19       +29   739.19     51.518       -143     3.0min
  day140   140.0       6   2.859e+40   1277.89       +29  1277.89     95.614       -143     3.6min
  day150   150.0       6   2.502e+40   1164.62       +29  1164.62    207.157       -143     3.4min
  day160   160.0       6   2.555e+38      2.33        +0     2.33      1.029       -400     2.3min

Total batch runtime: 90.3 min
