# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 60.0 d   T_phot: 4634.314131545921 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 4.2503e+26 erg/s   peak F = 1.000 @ Δv = +28.7 km/s   EW = -0.00 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   1.18e-10       2.9415e+33       4.2503e+26      -0.00       -0.00        1.000       -40.0
  HI      Hbeta            4861.33   1.68e-11       1.5726e+32       1.3981e+26      -0.00       -0.00        1.000       -40.0
  HI      Hgamma           4340.47   5.61e-12       3.2710e+31       6.6340e+25      -0.00       -0.00        1.000      -100.0
  HI      Palpha          18751.01   3.79e-11       4.3516e+31       1.7261e+25      -0.00       -0.00        1.000      -140.0
  HI      Pbeta           12818.08   4.78e-12       9.6336e+30       1.2880e+25      -0.00       -0.00        1.000      -180.0
# --- He I ---
  HeI     He_I_5876        5875.62   9.85e-15       1.0373e+35       1.0373e+35     -10.04      -10.04        2.266        +0.0
  HeI     He_I_6678        6678.15   1.29e-14       3.0388e+34       3.0388e+34      -0.37       -0.37        1.081        +0.0
  HeI     He_I_7065        7065.19   1.25e-15       4.8741e+34       4.8741e+34      -6.55       -6.55        1.930        +0.0
  HeI     He_I_10830      10830.34   1.35e-03       2.1468e+37       2.1468e+37    -235.86     -235.86        3.821        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   2.15e-30       4.6887e-02       4.6887e-02      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_3203       3203.10   1.00e-30       1.6094e-07       1.6094e-07      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_4686       4685.71   7.58e-30       8.9338e-06       8.9338e-06      -0.00       -0.00        1.000     -5000.1
  HeII    He_II_10124     10123.60   1.91e-29       3.1728e-08       3.1728e-08      -0.00       -0.00        1.000     -5000.1
