 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
      0.000000E+00       4.375100E+01       4.260649E+01
      6.730847E-01       4.374300E+01       4.258297E+01
      1.711363E+00       4.369300E+01       4.254630E+01
      2.726195E+00       4.362100E+01       4.251375E+01
      3.793118E+00       4.353300E+01       4.247871E+01
      4.815010E+00       4.344700E+01       4.244700E+01
      5.898045E+00       4.335900E+01       4.241447E+01
      6.969846E+00       4.327800E+01       4.238220E+01
      8.250444E+00       4.320200E+01       4.234830E+01
      9.253053E+00       4.314500E+01       4.232015E+01
      1.029197E+01       4.308000E+01       4.229557E+01
      1.129961E+01       4.302300E+01       4.226998E+01
      1.230722E+01       4.297400E+01       4.224551E+01
      1.331482E+01       4.293900E+01       4.222324E+01
      1.436166E+01       4.291300E+01       4.220003E+01
      1.538159E+01       4.289800E+01       4.217926E+01
      1.642227E+01       4.288600E+01       4.215897E+01
      1.764409E+01       4.286900E+01       4.213640E+01
      1.871708E+01       4.284700E+01       4.211793E+01
      1.972458E+01       4.282800E+01       4.209968E+01
      2.073207E+01       4.280700E+01       4.208279E+01
      2.173955E+01       4.278800E+01       4.206670E+01
      2.274702E+01       4.276800E+01       4.204999E+01
      2.382643E+01       4.274600E+01       4.203503E+01
      2.496629E+01       4.273400E+01       4.201953E+01
      2.602315E+01       4.271500E+01       4.200475E+01
      2.712460E+01       4.266200E+01       4.198989E+01
      2.813257E+01       4.252200E+01       4.197557E+01
      2.867603E+01       4.241400E+01       4.196867E+01
      2.896000E+01       4.236300E+01       4.196468E+01
      2.974019E+01       4.222400E+01       4.195492E+01
      2.987871E+01       4.220200E+01       4.195313E+01
      3.001717E+01       4.218400E+01       4.195124E+01
      3.015556E+01       4.216600E+01       4.194954E+01
      3.043213E+01       4.213100E+01       4.194699E+01
      3.057037E+01       4.211800E+01       4.194359E+01
      3.063948E+01       4.211100E+01       4.194275E+01
      3.067403E+01       4.210900E+01       4.194206E+01
      3.070857E+01       4.210600E+01       4.194161E+01
      3.074312E+01       4.210300E+01       4.194121E+01
      3.095030E+01       4.208400E+01       4.193877E+01
      3.191906E+01       4.202500E+01       4.193202E+01
      3.234169E+01       4.200600E+01       4.192392E+01
      3.388857E+01       4.195200E+01       4.190827E+01
      3.501220E+01       4.193300E+01       4.189371E+01
      3.613518E+01       4.191800E+01       4.188480E+01
      3.725782E+01       4.190400E+01       4.186829E+01
      3.838020E+01       4.189100E+01       4.185564E+01
      3.950239E+01       4.187600E+01       4.184298E+01
      4.062438E+01       4.186200E+01       4.183052E+01
      4.174617E+01       4.184800E+01       4.181856E+01
      4.286781E+01       4.183500E+01       4.180577E+01
      4.398929E+01       4.182200E+01       4.179630E+01
      4.511063E+01       4.181000E+01       4.178147E+01
      4.623188E+01       4.179800E+01       4.177437E+01
      4.735303E+01       4.178600E+01       4.175747E+01
      4.847409E+01       4.177400E+01       4.174554E+01
      4.959506E+01       4.176200E+01       4.173368E+01
      5.071596E+01       4.175100E+01       4.172181E+01
      5.183679E+01       4.173900E+01       4.171139E+01
      5.295756E+01       4.172700E+01       4.169827E+01
      5.407826E+01       4.171600E+01       4.169020E+01
      5.519891E+01       4.170600E+01       4.167486E+01
      5.631950E+01       4.169500E+01       4.166314E+01
      5.744004E+01       4.168400E+01       4.165147E+01
      5.856053E+01       4.167300E+01       4.163979E+01
      5.968097E+01       4.166200E+01       4.162818E+01
      6.080138E+01       4.165100E+01       4.161658E+01
      6.192174E+01       4.164000E+01       4.160713E+01
      6.304206E+01       4.162900E+01       4.159340E+01
      6.416234E+01       4.161700E+01       4.158602E+01
      6.528259E+01       4.160500E+01       4.156996E+01
      6.640281E+01       4.159300E+01       4.155811E+01
      6.752298E+01       4.158000E+01       4.154593E+01
      6.864310E+01       4.156900E+01       4.153352E+01
      6.976318E+01       4.155800E+01       4.152231E+01
      7.088321E+01       4.154700E+01       4.151028E+01
      7.200322E+01       4.153600E+01       4.150161E+01
      7.312319E+01       4.152400E+01       4.148742E+01
      7.424312E+01       4.151300E+01       4.148087E+01
      7.536303E+01       4.150200E+01       4.146479E+01
      7.648290E+01       4.149100E+01       4.145347E+01
      7.760275E+01       4.148000E+01       4.144232E+01
      7.872257E+01       4.146800E+01       4.143104E+01
      7.984236E+01       4.145700E+01       4.142127E+01
      8.096212E+01       4.144700E+01       4.140892E+01
      8.208187E+01       4.143600E+01       4.140106E+01
      8.320159E+01       4.142600E+01       4.138668E+01
      8.432129E+01       4.141500E+01       4.137585E+01
      8.544097E+01       4.140500E+01       4.136493E+01
      8.656062E+01       4.139400E+01       4.135411E+01
      8.768026E+01       4.138300E+01       4.134301E+01
      8.879987E+01       4.137300E+01       4.133224E+01
      8.991947E+01       4.136200E+01       4.132346E+01
      9.103904E+01       4.135200E+01       4.131069E+01
      9.215860E+01       4.134100E+01       4.130384E+01
      9.327814E+01       4.133000E+01       4.128937E+01
      9.383791E+01       4.132500E+01       4.128511E+01
      9.495743E+01       4.131400E+01       4.127323E+01
      9.607692E+01       4.130300E+01       4.126269E+01
      9.719639E+01       4.129300E+01       4.125624E+01
      9.831585E+01       4.128200E+01       4.124155E+01
      9.943528E+01       4.127100E+01       4.123121E+01
      1.005547E+02       4.126000E+01       4.122063E+01
      1.016741E+02       4.124800E+01       4.121032E+01
      1.027935E+02       4.123700E+01       4.120003E+01
      1.039129E+02       4.122600E+01       4.119145E+01
      1.050322E+02       4.121600E+01       4.117955E+01
      1.061516E+02       4.120600E+01       4.116909E+01
      1.072709E+02       4.119600E+01       4.115897E+01
      1.083902E+02       4.118600E+01       4.114860E+01
      1.095095E+02       4.117600E+01       4.113862E+01
