# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 0.2 d   T_phot: 20972.07493939047 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 4.2071e+26 erg/s   peak F = 1.155 @ Δv = +371.3 km/s   EW = -4.95 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   1.58e-08       1.1904e+33       4.2071e+26      -3.42       -0.00        1.000      -680.0
  HI      Hbeta            4861.33   2.29e-09       3.3973e+32       1.5261e+26      -3.88       -0.00        1.000      -260.0
  HI      Hgamma           4340.47   7.77e-10       1.4362e+32       7.1176e+25      -5.31       -0.00        1.000     -3340.1
  HI      Palpha          18751.01   6.73e-09       9.4006e+31       1.7135e+25      -4.88       -0.00        1.000      -360.0
  HI      Pbeta           12818.08   1.10e-09       4.2299e+31       1.2971e+25      +9.31       +0.00        1.000      -960.0
# --- He I ---
  HeI     He_I_5876        5875.62   5.26e+03       1.2280e+40       4.3400e+33     -20.87       -0.00        1.000      +580.0
  HeI     He_I_6678        6678.15   1.57e+02       1.8110e+40       6.4003e+33     -44.59       -0.00        1.000      +140.0
  HeI     He_I_7065        7065.19   7.15e+02       2.0903e+39       7.3873e+32      +5.13       +0.00        1.000       +40.0
  HeI     He_I_10830      10830.34   2.91e+04       1.2371e+40       4.3720e+33    -178.80       -0.00        1.000     -1420.0
# --- He II ---
  HeII    He_II_1640       1640.42   1.32e+01       1.0709e+39       3.7846e+32      +2.81       +0.00        1.000      +600.0
  HeII    He_II_3203       3203.10   1.92e-06       7.4103e+37       7.4103e+37      +2.03       +2.03        1.566     +3260.1
  HeII    He_II_4686       4685.71   1.75e-05       2.4263e+38       2.4263e+38      +0.50       +0.50        1.651     -4240.1
  HeII    He_II_10124     10123.60   1.07e-06       1.5249e+37       1.5249e+37      -2.78       -2.78        1.531      -100.0
