==============================================================================
 BATCH SUMMARY: production RT-NLTE Hα profiles
==============================================================================

    name   epoch   iters      L_line    peak_F   peak_dv   core_F   trough_F  trough_dv   runtime
# 'peak_F'/'peak_dv' = GLOBAL extremum across full v range
# 'core_F' = local max in line-core ±500 km/s window only
# Trough is the minimum F in line-core ±500 km/s window
day000.1     0.1       1   9.851e+26      1.00      +229     1.00      1.000       -400     0.2min
day000.3     0.3       1   9.894e+26      1.00      +229     1.00      1.000       -400     0.2min
day000.4     0.4       1   9.916e+26      1.00      +229     1.00      1.000       -400     0.2min
day000.5     0.5       1   9.938e+26      1.00      +229     1.00      1.000       -400     0.2min
day000.6     0.6       1   9.958e+26      1.00      +200     1.00      1.000       -400     0.2min
day000.7     0.7       1   9.977e+26      1.00      +200     1.00      1.000       -400     0.2min
day000.8     0.8       1   9.997e+26      1.00      +229     1.00      1.000       -400     0.2min
day000.9     0.9       1   1.002e+27      1.00      +229     1.00      1.000       -400     0.2min
  day001     1.0       1   1.004e+27      1.00      +229     1.00      1.000       -400     0.2min
  day002     2.0       1   1.024e+27      1.00      +200     1.00      1.000       -400     0.2min
  day003     3.0       1   1.067e+27      1.00      +229     1.00      1.000       -400     0.2min
  day004     4.0       1   1.063e+27      1.26     +8737     1.14      0.870       -257     0.2min
  day005     5.0       1   1.037e+27      1.32    +10850     1.15      0.762        -86     0.2min
  day006     6.0       1   1.008e+27      1.29     +9165     1.09      0.836       -143     0.2min
  day007     7.0       1   9.860e+26      1.27    +17273     1.10      0.888        -86     0.2min
  day008     8.0       1   9.954e+26      1.23    -15103     1.11      0.901       -257     0.2min
  day009     9.0       1   9.908e+26      1.28     -6824     1.13      0.865       -143     0.2min
  day010    10.0       1   9.937e+26      1.32     +6024     1.18      0.934       -257     0.2min
  day020    20.0       1   1.905e+27      1.36       +57     1.36      0.921        -86     0.2min
  day030    30.0       1   0.000e+00      1.00    -16559     1.00      1.000       -400     1.1min
  day040    40.0       1   0.000e+00      1.00    -16559     1.00      1.000       -400     1.2min
  day050    50.0       1   0.000e+00      1.00    -16559     1.00      1.000       -400     1.2min
  day060    60.0       2   0.000e+00      1.00    -16559     1.00      1.000       -400     1.6min
  day070    70.0       2   0.000e+00       nan     -7737      nan        nan       -400     1.4min
  day080    80.0       2   0.000e+00       nan     -7709      nan        nan       -400     1.2min
  day090    90.0       2   0.000e+00       nan     -7737      nan        nan       -400     1.1min
  day100   100.0       2   0.000e+00       nan     -7766      nan        nan       -400     1.0min
  day110   110.0       2   0.000e+00       nan     -7766      nan        nan       -400     1.0min
  day120   120.0       6   1.996e+39      1.80       +57     1.80      0.739       -400     2.5min
  day130   130.0       6   1.223e+39      1.97       +29     1.97      0.812       -400     2.4min
  day140   140.0       6   6.274e+38      2.14       +29     2.14      0.886       -400     2.3min
  day150   150.0       6   2.813e+38      2.28       +29     2.28      0.939       -400     2.2min
  day160   160.0       6   1.323e+38      2.37       +29     2.37      0.967       -400     2.1min

Total batch runtime: 36.8 min
