         t-t0          tau          rho            T            r            v
   8.5803D-03   2.1136D+05   1.1143D-06   4.8529D+05   1.0995D+12   1.2710D-01
   9.8580D-02   1.7603D+05   8.5507D-07   4.5082D+05   1.2006D+12   1.3210D-01
   4.9858D-01   9.7594D+04   3.0409D-07   3.4198D+05   1.6957D+12   1.5290D-01
   9.9858D-01   5.1927D+04   1.0617D-07   2.6242D+05   2.4075D+12   1.7480D-01
   1.9986D+00   2.1045D+04   2.1928D-08   1.8155D+05   4.0732D+12   2.0710D-01
   2.9986D+00   1.0846D+04   6.9663D-09   1.4028D+05   5.9689D+12   2.2850D-01
   3.9986D+00   6.4429D+03   2.8708D-09   1.1535D+05   8.0181D+12   2.4300D-01
   4.9986D+00   4.2575D+03   1.4060D-09   9.8401D+04   1.0171D+13   2.5250D-01
   5.9986D+00   2.9950D+03   7.7804D-10   8.6298D+04   1.2392D+13   2.5910D-01
   6.9986D+00   2.2185D+03   4.6989D-10   7.6913D+04   1.4663D+13   2.6410D-01
   7.9986D+00   1.7145D+03   3.0269D-10   6.9663D+04   1.6972D+13   2.6800D-01
   8.9986D+00   1.3693D+03   2.0559D-10   6.3533D+04   1.9313D+13   2.7130D-01
   9.9986D+00   1.1134D+03   1.4521D-10   5.8479D+04   2.1680D+13   2.7410D-01
   1.1999D+01   7.7142D+02   7.9799D-11   5.0234D+04   2.6478D+13   2.7850D-01
   1.3999D+01   5.5296D+02   4.8084D-11   4.3752D+04   3.1344D+13   2.8180D-01
   1.5999D+01   4.0017D+02   3.1046D-11   3.8548D+04   3.6259D+13   2.8430D-01
   1.7999D+01   2.9469D+02   2.1135D-11   3.4041D+04   4.1212D+13   2.8630D-01
   1.9999D+01   2.2540D+02   1.5031D-11   3.0130D+04   4.6198D+13   2.8780D-01
   2.1999D+01   1.7877D+02   1.1041D-11   2.6853D+04   5.1205D+13   2.8880D-01
   2.3999D+01   1.4711D+02   8.3368D-12   2.4210D+04   5.6227D+13   2.8940D-01
   2.5999D+01   1.2026D+02   6.4417D-12   2.2080D+04   6.1252D+13   2.8990D-01
   2.7999D+01   9.6721D+01   5.0816D-12   2.0184D+04   6.6290D+13   2.9020D-01
   2.9999D+01   7.5745D+01   4.0832D-12   1.8365D+04   7.1331D+13   2.9060D-01
   3.1999D+01   5.6211D+01   3.3266D-12   1.6482D+04   7.6378D+13   2.9090D-01
   3.3999D+01   3.8234D+01   2.7416D-12   1.4322D+04   8.1431D+13   2.9110D-01
   3.5999D+01   2.6052D+01   2.2909D-12   1.2134D+04   8.6487D+13   2.9120D-01
   3.7999D+01   1.9154D+01   1.9320D-12   1.0520D+04   9.1544D+13   2.9130D-01
   3.9999D+01   1.5511D+01   1.6444D-12   9.5280D+03   9.6600D+13   2.9130D-01
   4.1999D+01   1.2737D+01   1.4093D-12   8.7902D+03   1.0166D+14   2.9130D-01
   4.3999D+01   1.0672D+01   1.2190D-12   8.2985D+03   1.0672D+14   2.9120D-01
   4.5999D+01   9.0480D+00   1.0617D-12   7.9068D+03   1.1177D+14   2.9120D-01
   4.7999D+01   7.7011D+00   9.2897D-13   7.5162D+03   1.1683D+14   2.9120D-01
   4.9999D+01   6.5911D+00   8.1846D-13   7.1285D+03   1.2188D+14   2.9120D-01
   5.1999D+01   5.6683D+00   7.2444D-13   6.7764D+03   1.2694D+14   2.9120D-01
   5.3999D+01   4.8713D+00   6.4417D-13   6.4714D+03   1.3200D+14   2.9120D-01
   5.5999D+01   4.2059D+00   5.7544D-13   6.1944D+03   1.3705D+14   2.9120D-01
   5.7999D+01   3.6303D+00   5.1642D-13   5.9704D+03   1.4211D+14   2.9120D-01
   5.9999D+01   3.1495D+00   4.6452D-13   5.7677D+03   1.4717D+14   2.9120D-01
   6.1999D+01   2.7142D+00   4.1976D-13   5.5847D+03   1.5224D+14   2.9110D-01
   6.3999D+01   2.3706D+00   3.8019D-13   5.4200D+03   1.5734D+14   2.9110D-01
   6.5999D+01   2.0908D+00   3.4514D-13   5.2966D+03   1.6245D+14   2.9110D-01
   6.7999D+01   1.8660D+00   3.1477D-13   5.1761D+03   1.6756D+14   2.9110D-01
   6.9999D+01   1.6497D+00   2.8774D-13   5.0466D+03   1.7269D+14   2.9110D-01
   7.1999D+01   1.4682D+00   2.6363D-13   4.9317D+03   1.7782D+14   2.9110D-01
   7.3999D+01   1.3226D+00   2.4155D-13   4.8306D+03   1.8296D+14   2.9110D-01
   7.5999D+01   1.1969D+00   2.2284D-13   4.7424D+03   1.8807D+14   2.9110D-01
   7.7999D+01   1.0882D+00   2.0512D-13   4.6559D+03   1.9322D+14   2.9110D-01
   7.9999D+01   9.8368D-01   1.8967D-13   4.5709D+03   1.9834D+14   2.9110D-01
   8.1999D+01   9.0001D-01   1.7579D-13   4.4978D+03   2.0349D+14   2.9110D-01
   8.3999D+01   8.3012D-01   1.6331D-13   4.4361D+03   2.0860D+14   2.9110D-01
   8.5999D+01   7.6807D-01   1.5171D-13   4.3853D+03   2.1375D+14   2.9100D-01
   8.7999D+01   7.1264D-01   1.4125D-13   4.3351D+03   2.1887D+14   2.9100D-01
