 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
     -1.973097E-01       4.124800E+01       4.288722E+01
     -1.844842E-01       4.124800E+01       4.288666E+01
     -1.831053E-01       4.124800E+01       4.288660E+01
     -1.825520E-01       4.124800E+01       4.288660E+01
     -1.809455E-01       4.124800E+01       4.288655E+01
     -1.808299E-01       4.124800E+01       4.288655E+01
     -1.798107E-01       4.124800E+01       4.288649E+01
     -1.716527E-01       4.124800E+01       4.288615E+01
     -1.596280E-01       4.124800E+01       4.288570E+01
     -1.588338E-01       4.124800E+01       4.288564E+01
     -1.584299E-01       4.124800E+01       4.288564E+01
     -1.583359E-01       4.124800E+01       4.288564E+01
     -1.582645E-01       4.124800E+01       4.288564E+01
     -1.571972E-01       4.124800E+01       4.288559E+01
     -1.571525E-01       4.124800E+01       4.288559E+01
     -1.570977E-01       4.124800E+01       4.288559E+01
     -1.564497E-01       4.124800E+01       4.288553E+01
     -1.550721E-01       4.124800E+01       4.288547E+01
     -1.479443E-01       4.124800E+01       4.288519E+01
     -1.359952E-01       4.124800E+01       4.288474E+01
     -1.342494E-01       4.124800E+01       4.288463E+01
     -1.332781E-01       4.124800E+01       4.288463E+01
     -1.320583E-01       4.124800E+01       4.288457E+01
     -1.309170E-01       4.124800E+01       4.288451E+01
     -1.275564E-01       4.124800E+01       4.288440E+01
     -1.110751E-01       4.124800E+01       4.288372E+01
     -1.090270E-01       4.124800E+01       4.288360E+01
     -1.074191E-01       4.124800E+01       4.288355E+01
     -1.056877E-01       4.124800E+01       4.288349E+01
     -1.041391E-01       4.124800E+01       4.288343E+01
     -9.482945E-02       4.124800E+01       4.288304E+01
     -8.349128E-02       4.124800E+01       4.288258E+01
     -8.204734E-02       4.124800E+01       4.288252E+01
     -8.098616E-02       4.124800E+01       4.288247E+01
     -7.933761E-02       4.124800E+01       4.288241E+01
     -7.661539E-02       4.124800E+01       4.288230E+01
     -6.162201E-02       4.124800E+01       4.288173E+01
     -5.780672E-02       4.124800E+01       4.288156E+01
     -5.587476E-02       4.124800E+01       4.288150E+01
     -5.466943E-02       4.124800E+01       4.288144E+01
     -5.312690E-02       4.124800E+01       4.288138E+01
     -5.091638E-02       4.124800E+01       4.288127E+01
     -3.852358E-02       4.124800E+01       4.288076E+01
     -3.097602E-02       4.124800E+01       4.288047E+01
     -2.772734E-02       4.124800E+01       4.288036E+01
     -2.759545E-02       4.124800E+01       4.288036E+01
     -2.414170E-02       4.124800E+01       4.288018E+01
     -1.572753E-02       4.124800E+01       4.287984E+01
      0.000000E+00       4.413600E+01       4.287921E+01
      4.828940E-03       4.413500E+01       4.287904E+01
      1.986048E-02       4.413100E+01       4.287841E+01
      2.774489E-02       4.412900E+01       4.287812E+01
      3.105790E-02       4.412800E+01       4.287795E+01
      3.853141E-02       4.412600E+01       4.287766E+01
      5.696232E-02       4.412200E+01       4.287691E+01
      6.118313E-02       4.412100E+01       4.287674E+01
      6.845247E-02       4.411900E+01       4.287645E+01
      7.991477E-02       4.411600E+01       4.287599E+01
      8.285397E-02       4.411600E+01       4.287587E+01
      9.167047E-02       4.411300E+01       4.287552E+01
      9.858178E-02       4.411200E+01       4.287523E+01
      1.193003E-01       4.410700E+01       4.287442E+01
      1.240500E-01       4.410600E+01       4.287419E+01
      1.283549E-01       4.410500E+01       4.287402E+01
      1.484537E-01       4.410100E+01       4.287320E+01
      1.562751E-01       4.409900E+01       4.287291E+01
      1.599168E-01       4.409800E+01       4.287274E+01
      1.766798E-01       4.409400E+01       4.287210E+01
      1.894617E-01       4.409100E+01       4.287157E+01
      1.970812E-01       4.408900E+01       4.287128E+01
      2.143664E-01       4.408500E+01       4.287058E+01
      2.232523E-01       4.408400E+01       4.287023E+01
      2.326336E-01       4.408100E+01       4.286982E+01
      2.496524E-01       4.407700E+01       4.286917E+01
      2.582566E-01       4.407500E+01       4.286882E+01
      2.699185E-01       4.407300E+01       4.286835E+01
      2.946344E-01       4.406700E+01       4.286735E+01
      3.078715E-01       4.406400E+01       4.286682E+01
      3.360852E-01       4.405800E+01       4.286570E+01
      3.481030E-01       4.405500E+01       4.286516E+01
      3.762980E-01       4.404900E+01       4.286404E+01
      3.882250E-01       4.404600E+01       4.286356E+01
      4.212778E-01       4.403800E+01       4.286225E+01
      4.296936E-01       4.403600E+01       4.286189E+01
      4.523643E-01       4.403100E+01       4.286100E+01
      4.722948E-01       4.402600E+01       4.286022E+01
      5.046660E-01       4.401800E+01       4.285890E+01
      5.225718E-01       4.401400E+01       4.285818E+01
      5.516631E-01       4.400700E+01       4.285703E+01
      5.959030E-01       4.399700E+01       4.285522E+01
      6.148785E-01       4.399200E+01       4.285449E+01
      6.659704E-01       4.398000E+01       4.285242E+01
      7.181891E-01       4.396800E+01       4.285034E+01
      7.619555E-01       4.395700E+01       4.284862E+01
      8.066118E-01       4.394700E+01       4.284683E+01
      8.495528E-01       4.393700E+01       4.284522E+01
      9.104579E-01       4.392200E+01       4.284280E+01
      9.620660E-01       4.391000E+01       4.284073E+01
      1.025314E+00       4.389500E+01       4.283822E+01
      1.088507E+00       4.388000E+01       4.283575E+01
      1.135319E+00       4.386900E+01       4.283391E+01
      1.200095E+00       4.385400E+01       4.283129E+01
      1.317732E+00       4.382700E+01       4.282666E+01
      1.444734E+00       4.379800E+01       4.282171E+01
      1.581740E+00       4.376700E+01       4.281631E+01
      1.695265E+00       4.374400E+01       4.281184E+01
      1.830700E+00       4.371700E+01       4.280652E+01
      1.924202E+00       4.370000E+01       4.280284E+01
      2.139232E+00       4.366500E+01       4.279449E+01
      2.364574E+00       4.363400E+01       4.278576E+01
