name,epoch_d,format,n_zones,n_zones_full,R_phot,T_phot,L_phot,T_color_thermalization,photoionized,photoeq_T_source,photoeq_converged,photoeq_iterations,photoeq_final_residual,X_HII_mean,tau_es_stella,tau_es_photoeq,tau_es_ratio,Gamma_BB_at_Rphot,Gamma_brems_at_Rphot,shock_R_s,shock_v_s_kms,shock_rho_csm,shock_T_shock,shock_L_shock,shock_eta_rad,shock_L_X_brems,shock_sanity_flag,shock_sanity_ratio_LXoverLphot,L_line,L_cont_band,red_peak_F,red_peak_dv,trough_F,trough_dv,global_peak_F,global_peak_dv,sigma_res2_vs_ref,he1_n_HeI_med,he1_n_HeII_med,he1_2_3S_frac,he1_NLTE_LTE_ratio,he1_tau_10830_med,he1_tau_5876_med,he1_tau_7065_med,he1_tau_6678_med,he1_iters,he2_X_HeIII_med,he2_X_HeII_med,he2_n_HeII_med,he2_n_HeIII_med,he2_tau_4686_med,he2_tau_1640_med,he2_tau_3203_med,he2_tau_10124_med,he2_iters,n_iter_used,runtime_min
day000.1,0.1,stella,12,624,1619172358628038.0,20401.26532106524,7.80999956923e+43,22744.96142933061,True,20401.26532106524,True,13,0.0008707129343999999,1.0,0.6009741493247907,0.6628213330588713,1.1029115541884247,38259.51126387429,0.0,106835688484547.9,10854.66313669955,3.244494668097842e-12,1606728800.3826592,2.9758339194718015e+44,0.99229113419345,2.9526036137229657e+44,False,0.4521121163197311,1.9808506427446358e+27,9.501914053764388e+41,1.0000000012824257,228.52246217694176,0.9999999952221391,-399.6002474549983,1.0000000012824257,228.52246217694176,,531745441.48000485,0.0,1.2566421667483755e-05,1.0110318906647147,622393.4093974507,859109.1442844465,116488.86622103184,137041.29317925393,10,0.005432120308011686,0.9945678796919883,531745394.3534834,2931874.570047985,12.802624887509486,16980.265761917868,1.3806322663440258,0.06647861924770936,29,1,0.1594637155532837
day000.2,0.2,stella,13,624,1585523944076022.0,20632.67204649792,6.841902246969999e+43,22734.88296001553,True,20632.67204649792,True,13,0.0008707129343999999,1.0,0.6643145343461573,0.7275469749065768,1.0951844906158124,36814.837316197736,0.0,115945173590156.2,10674.13813669955,2.370019784918991e-12,1553729872.9340298,2.434645009367861e+44,0.9906125655859297,2.4115449999255003e+44,False,0.49838809895695935,2.1183482348761484e+27,8.10431680276771e+41,1.0000000012180366,257.07349443303434,0.9999999949166511,-399.6002474549983,1.0000000012180366,257.07349443303434,,542355692.6922013,0.0,1.3469373989443138e-05,0.9954856204011727,659212.4464713641,915345.3154698425,124076.13224989713,147426.35529396276,11,0.00614357385969831,0.9938564261403017,542355644.6253347,3352598.899943781,12.644095586209776,18657.940540698106,1.3631476669458358,0.049495658386982,29,1,0.15745565096537273
day000.3,0.3,stella,13,624,1586411654060858.0,20537.99344712494,6.30690224697e+43,22721.8015127949,True,20537.99344712494,True,13,0.0008707129343999999,1.0,0.6616815813373921,0.7245385554860322,1.0949958045100687,33192.931708897966,0.0,125054658695764.6,10493.61313669955,1.963880921802838e-12,1501619767.0464492,2.229820571175004e+44,0.9898564637034573,2.206970365333914e+44,False,0.5437784216028428,2.1335220866697202e+27,7.552644967567203e+41,1.000000001179096,285.6245266889938,0.999999994806368,-399.6002474549983,1.000000001179096,285.6245266889938,,542447716.8894584,0.0,1.236949510257553e-05,0.9954546801701498,580799.4324627125,800757.3865265708,108787.36454750948,128503.4010645574,11,0.004830226426470551,0.9951697735735294,542447668.8144361,2632862.3863606947,6.9583790089525355,13744.754392926114,0.749969757131942,0.01866391106830127,29,1,0.15761348009109497
day000.4,0.4,stella,13,624,1587299364045694.0,20443.31484775196,5.77190224697e+43,22698.64851883821,True,20443.31484775196,True,13,0.0008707129343999999,1.0,0.6590480823511065,0.7215293970193793,1.0948053963610291,29704.237695940166,0.0,134165498596698.0,10301.80894432925,1.788660212160297e-12,1447227681.2351403,2.2117186826464174e+44,0.9899937161744012,2.1893488617247912e+44,False,0.44916439470769337,2.1492442459264245e+27,6.988124769557595e+41,1.0000000012060508,257.07349443303434,0.9999999948614081,-399.6002474549983,1.0000000012060508,257.07349443303434,,542392650.3243204,0.0,1.1345950034911482e-05,0.9954232556469403,512445.9380400493,700677.0965724196,95376.20049415951,111830.6548785113,12,0.0037840131425688475,0.9962159868574312,542392602.2541785,2060216.6221366327,3.8199756331483123,10115.751171165437,0.411634253391649,0.006907042439104131,29,1,0.15699583292007446
day000.5,0.5,stella,13,624,1588189166772984.0,20349.08287968491,5.32778750388e+43,22710.74375718151,True,20349.08287968491,True,13,0.0008707129343999999,1.0,0.6565864308894244,0.7187213636439427,1.0946332879135945,26806.756463484235,0.0,143161050023310.5,10146.161141057959,1.643625378138124e-12,1403826347.5734882,2.2107402753127926e+44,0.9900999603729023,2.1886078249586717e+44,False,0.39973454072600023,2.1633251590338894e+27,6.5213888116950644e+41,1.0000000012315897,257.07349443303434,0.9999999948983964,-399.6002474549983,1.0000000012315897,257.07349443303434,,542233226.5070486,0.0,1.0427848849793943e-05,0.9953926033732248,454420.00578030973,615524.709626521,83912.49747852249,97785.28691954356,12,0.0029812107458613095,0.9970187892541387,542233178.4510357,1621344.9493465007,2.1342337197147097,7514.274263234305,0.22995388105163345,0.0027113995703394026,29,1,0.14815636475880942
day000.6,0.6,stella,13,624,1589085972108344.0,20256.34540224784,5.18778750388e+43,22763.31134963859,True,20256.34540224784,True,13,0.0008707129343999999,1.0,0.6547011035660185,0.7165880770105014,1.0945270644992007,25521.619145451634,0.0,151694216036006.8,10017.78114105796,1.386261356468748e-12,1368525698.148451,2.0150120482673453e+44,0.989210538573682,1.993041324626564e+44,False,0.4237625356553108,2.1702285088924513e+27,6.418986483340692e+41,1.0000000012541495,257.07349443303434,0.9999999949358935,-399.6002474549983,1.0000000012541495,257.07349443303434,,542042254.4832643,0.0,9.67751860790773e-06,0.9953654520433215,408640.4256632648,548280.6407171063,74828.15110608023,86681.64566219169,12,0.002415465352975248,0.9975845346470248,542042206.4441766,1312454.3575441744,1.274024726231082,5774.94329865225,0.13726202860485306,0.0012742734621847586,29,1,0.14777488708496095
day000.7,0.7,stella,13,624,1589982777443704.0,20163.60792481078,5.04778750388e+43,22886.8677769837,True,20163.60792481078,True,13,0.0008707129343999999,1.0,0.6528152585855119,0.7144540842321827,1.0944200136807873,24274.026944637608,0.0,160227382048703.0,9889.401141057959,1.212375479128387e-12,1333674553.8161955,1.89147439334375e+44,0.9886242650667776,1.8697362375676066e+44,False,0.42992765020205426,2.177207415282915e+27,6.31380702851447e+41,1.0000000012727697,257.07349443303434,0.9999999949439009,-399.6002474549983,1.0000000012727697,257.07349443303434,,541795191.7826337,0.0,8.973162445501883e-06,0.995337944486221,367812.01603343076,488233.6369029317,66694.04814186927,76730.61696926663,13,0.0019520034475599517,0.99804799655244,541795143.7654421,1059654.437616833,0.7587751995022929,4434.22599751098,0.08174707989151218,0.0006538175061922029,29,1,0.14733374913533528
day000.8,0.8,stella,13,624,1590879582779064.0,20070.87044737372,4.90778750388e+43,22971.26765356725,True,20070.87044737372,True,13,0.0008707129343999999,1.0,0.6509288959479058,0.7123193853089896,1.094312128011593,23063.518955284173,0.0,168761985833955.7,9734.01761295342,1.057799700713547e-12,1292094070.9900534,1.7458581136750225e+44,0.9880146242590385,1.7247226950870132e+44,False,0.4165640725543142,2.1842633817917903e+27,6.205787361000094e+41,1.0000000012985246,257.07349443303434,0.999999995013243,-399.6002474549983,1.0000000012985246,257.07349443303434,,541501679.5671341,0.0,8.312512369228672e-06,0.9953101409317655,331313.9861169288,434484.43766302394,59391.52232382641,67922.8727882765,13,0.001573331360008025,0.998426668639992,541501631.5759553,853304.0284415304,0.4507077800396662,3401.230156908621,0.04855675692644586,0.0003674418587596858,29,1,0.14716188112894693
day000.9,0.9,stella,13,624,1591776388114424.0,19978.13296993666,4.767787503879999e+43,23055.66753015079,True,19978.13296993666,True,13,0.0008707129343999999,1.0,0.6490420156532014,0.7101839802409232,1.0942033999542973,21889.626589720403,0.0,177295224545822.8,9621.007612953419,9.63335801740553e-13,1262266320.964075,1.6943897678887708e+44,0.9877650520431608,1.6734497763746642e+44,False,0.3888446406446557,2.1913979521071175e+27,6.094862909408305e+41,1.0000000013184924,257.07349443303434,0.9999999950331229,-399.6002474549983,1.0000000013184924,257.07349443303434,,541169807.4137826,0.0,7.693379829944321e-06,0.9952820024353485,298647.04581593774,386358.30390772206,52838.16015018981,60073.78664359174,13,0.0012647543372020377,0.9987352456627979,541169759.4520164,685313.5537189305,0.26690615081871916,2605.8203510266508,0.02875515821963266,0.00022464497675726461,29,1,0.14671634833017985
day001,1.0,stella,13,624,1592676299784566.0,19884.108777479,4.64044241307e+43,23723.40657590679,True,19884.108777479,True,13,0.0008707129343999999,1.0,0.6473151503626272,0.7082359263317266,1.0941130080687458,20802.019331016458,0.0,185767204230356.9,9530.338651653059,9.286405016942423e-13,1238587077.2596211,1.742972676669559e+44,0.9881098503371665,1.7220290599881691e+44,False,0.38264230315164505,2.1985284712140646e+27,5.998234663753208e+41,1.0000000013406605,257.07349443303434,0.9999999950673577,-399.6002474549983,1.0000000013406605,257.07349443303434,,540776691.0185653,0.0,7.1239215790844095e-06,0.9952540580895427,270656.4485438993,345081.0160675116,47206.72007062836,53384.44627953557,13,0.0010178076134411242,0.9989821923865588,540776643.0916395,550967.3632869152,0.1602240654332057,2011.9380590752726,0.017262099576414662,0.00014921109923281202,29,1,0.14687583446502686
