# Phase 5 multi-line summary (β-corrected single-shot RT + Hα-anchored empirical correction)
# Snapshot: ?
# Epoch: 4.0 d   T_phot: 17178.17477059112 K
#
# Production Hα (RT-NLTE iterated, gold-standard):
#   L_line = 2.4031e+27 erg/s   peak F = 1.000 @ Δv = +228.5 km/s   EW = +0.00 Å
#
# Phase 5b strengths (no empirical anchor):
#   H lines  = per-line recombination budget on the validated
#              production-Hα scale (case-B decrement).
#   He lines = he1/he2 NLTE first-principles; optically-thick
#              He lines carry a single-shot escape correction.
#   Quote the L_corr / EW_corr columns (NOT L_raw/EW_raw).
#   CAVEAT: for saturated lines (τ≫1, common in the IIn
#   regime) the single-shot PROFILE SHAPE is unreliable, so
#   peak_F_corr and profile-integrated EW are factor-of-few;
#   use the production Hα for the Hα shape.
#
# species  line          λ_rest[Å]   τ_med     L_raw[erg/s]      L_corr[erg/s]     EW_raw[Å]   EW_corr[Å]   peak F_corr   peak Δv[km/s]
# ---------------------------------------------------------------------------------------------------------------------------------------
# --- H I (Balmer + Paschen) ---
  HI      Halpha           6562.81   1.24e-07       1.4805e+33       2.4031e+27      +0.00       +0.00        1.000       -60.0
  HI      Hbeta            4861.33   1.79e-08       4.0230e+32       8.6130e+26      +0.00       +0.00        1.000       -60.0
  HI      Hgamma           4340.47   6.07e-09       1.6616e+32       4.0255e+26      +0.00       +0.00        1.000      -100.0
  HI      Palpha          18751.01   4.86e-08       1.1132e+32       9.7837e+25      +0.00       +0.00        1.000       -60.0
  HI      Pbeta           12818.08   7.84e-09       4.8938e+31       7.3934e+25      +0.00       +0.00        1.000      -160.0
# --- He I ---
  HeI     He_I_5876        5875.62   1.72e+04       7.6214e+39       1.2371e+34      +2.28       +0.00        1.000        +0.0
  HeI     He_I_6678        6678.15   2.51e+03       3.8720e+39       6.2849e+33      +2.45       +0.00        1.000        +0.0
  HeI     He_I_7065        7065.19   2.34e+03       3.1385e+39       5.0943e+33      +2.58       +0.00        1.000        +0.0
  HeI     He_I_10830      10830.34   3.12e+04       1.1820e+40       1.9186e+34      +4.25       +0.00        1.000        +0.0
# --- He II ---
  HeII    He_II_1640       1640.42   2.96e+00       1.3775e+37       2.2358e+31      +0.42       +0.00        1.000        +0.0
  HeII    He_II_3203       3203.10   2.19e-08       1.8562e+35       1.8562e+35      +0.00       +0.00        1.000        +0.0
  HeII    He_II_4686       4685.71   2.02e-07       5.9792e+35       5.9792e+35      +0.00       +0.00        1.000        +0.0
  HeII    He_II_10124     10123.60   8.39e-09       3.6593e+34       3.6593e+34      +0.00       +0.00        1.000        +0.0
