,M_csm,M_ej,M_csm_over_Mej,E_SN,R_prog,f_Hrich,f_Herich
L_Halpha,0.019572148999505476,0.3962513511343536,-0.36972761731357023,-0.8679393269579359,0.6385558777035862,0.23171728211161416,-0.6083633166713621
L_Hbeta,0.017996583884000175,0.39434616887715007,-0.3692723299494241,-0.8687078118795749,0.6370637164147432,0.23049029293202475,-0.6072587340950073
L_Hgamma,0.01827334274011389,0.3946809444687081,-0.3693524705868224,-0.8685736165520823,0.6373261853805073,0.23070618536833942,-0.6074531396332058
EW_Halpha,-0.003584474826207729,-0.4059287636712287,0.326998013635091,0.6511498067164714,-0.5781527562278095,-0.4441554252273205,0.5355481576992771
Halpha_Hbeta,0.0818812724114785,-0.7942869958476684,0.5433680663466647,0.6581974076320555,-0.9345944924754853,0.08873829861414399,0.8210150137684761
Halpha_Hgamma,0.08210152183542509,-0.7939885396439834,0.5433128240557009,0.6584365798740267,-0.9343986707010802,0.08893192017189414,0.8208857352349798
L_Balmer_tot,0.019079387942897624,0.3956559220948018,-0.36958564162187146,-0.8681807173849289,0.6380899185830898,0.23133381452931542,-0.6080185476158234
L_He1,0.37374101714558955,0.45902986558727105,-0.15856281018450732,0.028579478997749742,0.4095187251702753,-0.0976949732725678,-0.32409954121789664
He1_He2,-0.09926853438702561,-0.35257500239853634,0.05529865448860937,0.18542455972525643,-0.38076919292079436,0.13898586151160405,0.4492255316922209
L_He_tot,0.20169342298284368,0.5501816700483948,-0.24767858417342453,-0.010803625484930503,0.5052276788445672,-0.26905050926929447,-0.4047983356120966
